grapes,region,country,winery,rating
[Grenache],Pays d'Oc,Frankrig,Les Jamelles,3.8
"[Grenache,Tempranillo]",Valle del Cinca,Spanien,Nuviana,3.6
"[Sangiovese,Trebbiano,Canaiolo Nero,Malvasia Nera]",Chianti,Italien,Melini,3.5
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Terre degli Osci,Italien,Di Majo Norante,3.4
"[Baga,Castelao]",Lissabon,Portugal,Paxis,3.8
[Sauvignon Blanc],Franschhoek,Sydafrika,Franschhoek Cellar,3.6
"[Arinto de Bucelas,Loureiro,Alvarinho,Azal,Avesso,Batoca]",Vinho Verde,Portugal,Aliança,3.7
"[Shiraz/Syrah,Grenache,Mourvedre]",Pays d'Oc,Frankrig,Paul Mas,3.5
[Sauvignon Blanc],Navarra,Spanien,Inurrieta,3.7
"[Arinto de Bucelas,Loureiro,Alvarinho,Azal,Avesso,Batoca]",Vinho Verde,Portugal,Quinta da Lixa,3.7
[Tempranillo],Castilla,Spanien,Condesa de Leganza,3.4
[Malbec],Côtes du Lot,Frankrig,Château du Cèdre,3.4
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Puglia,Italien,Farnese,3.7
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Castel del Monte,Italien,Rivera,3.4
[Primitivo],Puglia,Italien,Vigneti del Salento,3.8
"[Tempranillo,Graciano,Garnacha]",Rioja,Spanien,Azabache,3.5
[Touriga Nacional],Dão,Portugal,Vinha Maria,3.7
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Salice Salentino,Italien,Torrevento,3.5
"[Sangiovese,Trebbiano,Canaiolo Nero,Malvasia Nera]",Chianti,Italien,Buccia Nera,3.5
[Pinotage],Coastal Region,Sydafrika,MAN,3.6
[Cabernet Sauvignon],Colchagua Valley,Chile,Caliterra,3.4
"[Grenache,Tempranillo]",Navarra,Spanien,Inurrieta,3.5
"[Malvasia,Fiano,Catarratto Bianco]",Terre Siciliane,Italien,Farnese,3.5
"[Malvasia,Fiano,Catarratto Bianco]",Basilicata,Italien,Vigneti del Vulture,3.9
[Sauvignon Blanc],Central Valley,Chile,Santa Conchita,3
[Tempranillo],Valdepeñas,Spanien,Pata Negra,3.3
"[Malvasia,Fiano,Catarratto Bianco]",Nuragus di Cagliari,Italien,Cantina di Dolianova,3.4
"[Grenache,Tempranillo]",Valle del Cinca,Spanien,Nuviana,3.1
"[Malvasia,Fiano,Catarratto Bianco]",Puglia,Italien,Giuseppe,3.2
[Sauvignon Blanc],Colchagua Valley,Chile,Caliterra,3.5
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Terre Siciliane,Italien,Fina,3.5
"[Tempranillo,Graciano,Garnacha]",Rioja,Spanien,Finca Mónica,3.4
"[Trebbiano,Garganega]",Soave Classico,Italien,Cesari,3.4
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Terre Siciliane,Italien,Roccaperciata,3.6
[Chardonnay],Valle del Cinca,Spanien,Nuviana,3.6
[Chardonnay],Valle de Casablanca,Chile,Caliterra,3.4
[Pinot Grigio],delle Venezie,Italien,Villa Rocca,3.7
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Codorníu,3.3
"[Arneis,Pinot Blanc,Cortese,Tocai Friulano]",Trentino,Italien,Scavi & Ray,2.8
"[Nebbiolo,Barbera,Dolcetto]",Rosso Veronese,Italien,Bolla,3.5
"[Malvasia,Fernao Pires]",Lissabon,Portugal,Portada,3.9
"[Grenache,Tempranillo]",Navarra,Spanien,Bodegas Piedemonte,3.4
"[Nebbiolo,Barbera,Dolcetto]",Verona,Italien,Zanettini,3.6
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Sicilia,Italien,Stemmari,3.6
"[Nebbiolo,Barbera,Dolcetto]",Veneto,Italien,Villa Rocca,3.4
"[Tempranillo,Graciano,Garnacha]",Rioja,Spanien,Gran Familia,3.6
"[Shiraz/Syrah,Grenache,Mourvedre]",Coteaux de Narbonne,Frankrig,Gérard Bertrand,3.5
[Montepulciano],Montepulciano d'Abruzzo,Italien,Villa Rocca,3.5
[Cabernet Sauvignon],Coastal Region,Sydafrika,MAN,3.5
"[Grenache Blanc,Bourboulenc]",Pays d'Oc,Frankrig,Paul Mas,3.7
"[Grenache,Tempranillo]",Navarra,Spanien,Inurrieta,3.5
"[Nebbiolo,Barbera,Dolcetto]",Veneto,Italien,La Calla,4
"[Arinto de Bucelas,Loureiro,Alvarinho,Azal,Avesso,Batoca]",Vinho Verde,Portugal,Casa Agricola de Compostela,3.6
[Tempranillo],Catalunya,Spanien,Fortaleza del Rey,3
"[Malvasia,Fiano,Catarratto Bianco]",Terre Siciliane,Italien,Zabu,3.6
[Riesling],Pfalz,Tyskland,Karl Pfaffmann,3.8
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Puglia,Italien,Luccarelli,3.8
"[Malvasia,Fiano,Catarratto Bianco]",Terre Siciliane,Italien,Roccaperciata,3.4
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Terre Siciliane,Italien,Zabu,3.7
[Verdejo],Castilla,Spanien,Condesa de Leganza,3.4
[Merlot],Central Valley,Chile,Antares,3.1
"[Malvasia,Fiano,Catarratto Bianco]",Terre Siciliane,Italien,Farnese,3.5
"[Malvasia,Fiano,Catarratto Bianco]",Puglia,Italien,Vigneti del Salento,3.7
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Puglia,Italien,Vigneti del Salento,3.9
"[Shiraz/Syrah,Cabernet Sauvignon]",Stellenbosch,Sydafrika,Delheim,3.5
"[Malvasia,Fiano,Catarratto Bianco]",Vermentino di Sardegna,Italien,Sella & Mosca,3.4
"[Malvasia,Fiano,Catarratto Bianco]",Isola dei Nuraghi,Italien,Cantina di Dolianova,3.3
