grapes,region,country,winery,rating 
[Nebbiolo],Langhe,Italien,Vietti,3.9
"[Sangiovese,Trebbiano,Canaiolo Nero,Malvasia Nera]",Chianti Classico,Italien,Ruffino,3.6
"[Shiraz/Syrah,Grenache,Mourvedre]",Côtes du Roussillon Villages,Frankrig,Dom Brial,4.2
[Gewürztraminer],Alsace,Frankrig,Domaine Zind Humbrecht,3.9
"[Nebbiolo,Barbera,Dolcetto]",Emilia-Romagna,Italien,Monte delle Vigne,4
"[Xarel-lo,Parellada,Trepat,Viura]",Castilla y León,Spanien,Santa Margarita,2.7
"[Touriga Nacional,Touriga Franca,Tinta Roriz]",Porto,Portugal,Duorum,3.8
[Chardonnay],Willamette Valley,USA,Pike Road,3.7
[Nebbiolo],Barbaresco,Italien,Vite Colte,3.7
"[Viognier,Roussanne,Marsanne,Grenache Blanc,Clairette,Bourboulenc]",Lirac,Frankrig,Domaine Maby,3.7
[Riesling],Nahe,Tyskland,Emrich-Schönleber,4
[Cabernet Sauvignon],Yarra Valley,Australien,Soumah,3.8
"[Shiraz/Syrah,Grenache,Mourvedre]",Côtes-du-Rhône-Villages,Frankrig,Chanssaud,3.7
[Touriga Nacional],Dão,Portugal,Casa de Cello,3.7
[Malbec],Mendoza,Argentina,Tinto Negro (TintoNegro),3.9
"[Shiraz/Syrah,Grenache,Mourvedre]",La Clape,Frankrig,Château la Négly,4
[Gamay],Fleurie,Frankrig,Domaine des Marrans,3.8
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Irpinia Campi Taurasini,Italien,Nativ,4.3
[Pinot Noir],Uco Valley,Argentina,Domaine Nico,4.2
"[Chardonnay,Pinot Gris,Pinot Noir,Roussanne,Pinot Blanc,Auxerrois]",Crémant d'Alsace,Frankrig,Riefle,3.5
[Nebbiolo],Piemonte,Italien,Ceste,3.5
"[Grenache,Tempranillo]",Campo de Borja,Spanien,Bodega Picos,3.8
[Chardonnay],Bourgogne,Frankrig,J.M. Boillot,3.9
[Tempranillo],Castilla,Spanien,Balmoral,3.6
[Pinot Gris],Südsteiermark,Østrig,Wohlmuth,3.6
[Pinot Noir],Bourgogne Hautes-Côtes de Beaune,Frankrig,Labry,3.6
"[Trebbiano,Garganega]",Soave Classico,Italien,Tamellini,3.9
"[Shiraz/Syrah,Grenache,Cinsault]",Côtes de Provence,Frankrig,Domaine des Aspras,3.9
[Sauvignon Blanc],Hawke's Bay,New Zealand,Elephant Hill,3.7
"[Sangiovese,Trebbiano,Canaiolo Nero,Malvasia Nera]",Chianti Classico,Italien,Ruffino,3.6
[Agiorgitiko],Nemea,Grækenland,Lafazanis (Λαφαζάνη),3.7
"[Tempranillo,Graciano,Garnacha]",Rioja,Spanien,Hermanos Peciña,4
"[Chardonnay,Gewürztraminer,Riesling,Grauburgunder,Silvaner,Kerner,Weissburgunder,Huxelrebe]",Rheingau,Tyskland,Schloss Vaux,3.8
"[Cabernet Sauvignon,Cabernet Franc,Malbec,Merlot,Petit Verdot,Carménère]",Cadillac - Côtes de Bordeaux,Frankrig,Château Gourran,3.7
"[Arneis,Pinot Blanc,Cortese,Tocai Friulano]",Breganze,Italien,Maculan,3.7
"[Corvina,Rondinella,Corvinone]",Valpolicella Ripasso,Italien,Feudo Italia,3.8
"[Touriga Nacional,Touriga Franca,Tinta Roriz]",Porto,Portugal,Poças,4.1
"[Chardonnay,Aligoté]",Mâcon-Villages,Frankrig,Guillot-Broux,3.8
[Shiraz/Syrah],Stellenbosch,Sydafrika,Post House,4.1
[Riesling],Wagram,Østrig,Fritsch,3.7
[Trebbiano],Colli della Toscana Centrale,Italien,Fontodi,3.8
[Pinot Noir],Rheinhessen,Tyskland,Gröhl,3.5
[Melon de Bourgogne],Muscadet-Sevre et Maine,Frankrig,Pépière,3.9
[Sauvignon Blanc],Pfalz,Tyskland,Von Winning,4
"[Shiraz/Syrah,Grenache,Mourvedre]",Vacqueyras,Frankrig,Domaine la Bouissiere,3.9
[Cabernet Sauvignon],Western Cape,Sydafrika,Croydon,3.9
[Riesling],Pfalz,Tyskland,Weingut Dr. Wehrheim,3.7
"[Shiraz/Syrah,Cabernet Sauvignon]",Western Cape,Sydafrika,Peter Falke,3.9
[Gamay],Morgon,Frankrig,Terres Dorées,3.7
[Riesling],Pfalz,Tyskland,Ökonomierat Rebholz,3.9
[Riesling],Mosel,Tyskland,Dr. Loosen,4
[Riesling],Alsace,Frankrig,Bestheim,3.7
[Merlot],Overberg,Sydafrika,Raka,3.9
[Barbera],Barbera d'Alba,Italien,Gianfranco Alessandria,3.8
"[Arneis,Pinot Blanc,Cortese,Tocai Friulano]",Sydtyrol - Alto Adige,Italien,Erste+Neue,3.6
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Cirò,Italien,Du Cropio,3.9
"[Cabernet Sauvignon,Merlot,Sangiovese,Canaiolo Nero]",Rosso di Montalcino,Italien,Mocali,3.8
[Viura],Rioja,Spanien,Tobia,4.2
"[Cabernet Sauvignon,Cabernet Franc,Malbec,Merlot,Petit Verdot,Carménère]",Castillon - Côtes de Bordeaux,Frankrig,Château Roquevieille,4
[Trebbiano],Orvieto,Italien,Sergio Mottura,3.6
"[Cabernet Sauvignon,Cabernet Franc,Malbec,Merlot,Petit Verdot,Carménère]",Stellenbosch,Sydafrika,DeMorgenzon,3.9
[Pinot Noir],Sydtyrol - Alto Adige,Italien,Weingut Unterortl - Castel Juval,3.7
"[Shiraz/Syrah,Grenache,Cinsault]",Coteaux d'Aix-en-Provence,Frankrig,Château Paradis,3.7
[Gamay],Juliénas,Frankrig,Christophe Pacalet,3.9
"[Nebbiolo,Barbera,Dolcetto]",Provincia di Pavia,Italien,Fattoria Cabanon,3.9
[Shiraz/Syrah],Stellenbosch,Sydafrika,Vergenoegd,3.9
[Albariño],Rías Baixas,Spanien,Bodegas Fulcro,4.1
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Terre Siciliane,Italien,Donnafugata,4
[Riesling],Mosel,Tyskland,Von Hövel,3.9
"[Cabernet Sauvignon,Cabernet Franc,Malbec,Merlot,Petit Verdot,Carménère]",Médoc,Frankrig,Château le Reysse,4.1
"[Corvina,Rondinella,Corvinone]",Valpolicella Ripasso,Italien,Corte Giara,3.8
[Grüner Veltliner],Weinviertel,Østrig,Herbert Zillinger,4.1
"[Shiraz/Syrah,Cabernet Sauvignon,Grenache,Carignan]",Priorat,Spanien,Vinícola del Priorat,3.9
[Riesling],Waipara,New Zealand,Pegasus Bay,3.9
"[Cabernet Sauvignon,Merlot,Sangiovese,Canaiolo Nero]",Rosso di Montalcino,Italien,La Serena,3.8
[Barbera],Barbera d'Asti,Italien,Tenuta la Meridiana,3.9
[Sauvignon Blanc],Nelson,New Zealand,Brightwater,3.6
[Merlot],Washington,USA,Beauty in Chaos,3.7
"[Sauvignon Blanc,Sémillon,Muscadelle]",Pessac-Léognan,Frankrig,Château Carbonnieux,3.7
[Pinot Noir],Walker Bay,Sydafrika,Benguela Cove,3.7
"[Corvina,Rondinella,Corvinone]",Valpolicella Ripasso,Italien,Cielo e Terra,3.9
[Pinotage],Durbanville,Sydafrika,Altydgedacht,3.9
"[Trebbiano,Garganega]",Soave,Italien,Guerrieri Rizzardi,3.6
"[Viognier,Roussanne,Marsanne,Grenache Blanc,Clairette,Bourboulenc]",Côtes-du-Rhône,Frankrig,Jean-Luc Colombo,3.7
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Marqués de la Concordia,3.7
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Terre Siciliane,Italien,Cellaro,3.9
[Gamay],Morgon,Frankrig,Terres Dorées,3.7
[Shiraz/Syrah],McLaren Vale,Australien,Paxton,3.7
"[Cabernet Sauvignon,Cabernet Franc,Malbec,Merlot,Petit Verdot,Carménère]",Durbanville,Sydafrika,Diemersdal,4.1
[Pinot Blanc],Alsace,Frankrig,Charles Baur,3.7
"[Arneis,Pinot Blanc,Cortese,Tocai Friulano]",Langhe,Italien,Brezza,3.6
[Pinot Gris],Marlborough,New Zealand,Nautilus,3.6
"[Shiraz/Syrah,Grenache,Mourvedre]",Rasteau,Frankrig,Grand Nicolet,3.9
"[Chardonnay,Pinot Gris,Pinot Noir,Roussanne,Pinot Blanc,Auxerrois]",Crémant d'Alsace,Frankrig,Charles Baur,4.2
[Primitivo],Primitivo di Manduria,Italien,Montedidio,3.8
"[Shiraz/Syrah,Grenache,Mourvedre]",Ventoux,Frankrig,Château Valcombe,3.8
[Riesling],Wachau,Østrig,Alzinger,3.8
[Nebbiolo],Langhe,Italien,Brezza,3.6
"[Nebbiolo,Barbera,Dolcetto]",Dolcetto d'Alba,Italien,Paolo Manzone,3.3
"[Chardonnay,Pinot Noir,Pinot Meunier]",Champagne,Frankrig,Duménil,4
"[Cabernet Sauvignon,Cabernet Franc,Malbec,Merlot,Petit Verdot,Carménère]",Bordeaux,Frankrig,Château la Peyruche,3.9
"[Touriga Nacional,Touriga Franca,Tinta Roriz]",Porto,Portugal,Sagrado,4.2
[Riesling],Central Otago,New Zealand,Misha's Vineyard,4
[Pinot Noir],Rheingau,Tyskland,Altenkirch,3.6
[Gamay],Fleurie,Frankrig,Clos de Mez,3.7
[Chardonnay],Chablis 1er Cru 'Les Fourneaux',Frankrig,Domaine des Genèves,4
"[Nebbiolo,Barbera,Dolcetto]",Piave,Italien,Ornella Molon,3.8
[Montepulciano],Montepulciano d'Abruzzo,Italien,Jasci,3.6
[Pinot Noir],Alsace,Frankrig,Rolly Gassmann,3.7
[Shiraz/Syrah],Red Mountain,USA,Terra Blanca,3.9
[Barbera],Barbera d'Alba,Italien,Pecchenino,3.7
[Tempranillo],Ribera del Duero,Spanien,Torremorón,3.7
[Shiraz/Syrah],Stellenbosch,Sydafrika,The Stellenbosch Reserve,4
[Pinot Noir],Coteaux Bourguignons,Frankrig,Domaine Chevillon-Chezeaux,3.4
[Riesling],Alsace,Frankrig,Fernand Engel,3.9
[Nebbiolo],Langhe,Italien,Rocche Costamagna,3.8
[Tempranillo],Ribera del Duero,Spanien,Montebaco,3.8
[Chardonnay],Willamette Valley,USA,Pike Road,3.7
[Barbera],Barbera d'Alba,Italien,Mirafiore,3.9
[Cabernet Sauvignon],Stellenbosch,Sydafrika,Clos Malverne,4
"[Cabernet Sauvignon,Merlot,Sangiovese,Canaiolo Nero]",Colline Lucchesi,Italien,Villa Santo Stefano,3.7
"[Arneis,Pinot Blanc,Cortese,Tocai Friulano]",Langhe,Italien,Albino Rocca,3.6
[Pinot Noir],Sydtyrol - Alto Adige,Italien,Weingut Unterortl - Castel Juval,3.7
[Chardonnay],Stellenbosch,Sydafrika,Saxenburg,4
"[Shiraz/Syrah,Grenache,Mourvedre]",Vacqueyras,Frankrig,Rhonéa,3.8
[Grüner Veltliner],Kremstal,Østrig,Geyerhof,3.8
[Silvaner],Rheinhessen,Tyskland,Battenfeld Spanier,4
"[Cabernet Sauvignon,Cabernet Franc,Malbec,Merlot,Petit Verdot,Carménère]",Maule Valley,Chile,Leyendas de Familia,3.9
[Riesling],Kremstal,Østrig,Stagård,3.7
[Pinotage],Stellenbosch,Sydafrika,Eikendal,3.7
"[Cabernet Sauvignon,Cabernet Franc,Malbec,Merlot,Petit Verdot,Carménère]",Cadillac - Côtes de Bordeaux,Frankrig,Château Gourran,3.7
[Malbec],Cahors,Frankrig,Château de Cayx,3.4
[Riesling],Alsace,Frankrig,Domaine Barmès Buecher,3.9
[Riesling],Mosel,Tyskland,Bischöfliche Weingüter Trier,3.9
[Gamay],Morgon,Frankrig,Domaine de Buis-Rond - Quentin Harel,3.8
"[Shiraz/Syrah,Grenache,Mourvedre]",Pays d'Oc,Frankrig,Cap de Coste,3.7
[Mencia],Bierzo,Spanien,Indi Wines,3.7
"[Cabernet Sauvignon,Cabernet Franc,Malbec,Merlot,Petit Verdot,Carménère]",Saint-Émilion Grand Cru,Frankrig,Château Monte Christo,3.9
[Cabernet Sauvignon],Robertson,Sydafrika,Goedverwacht,4
[Cabernet Sauvignon],Stellenbosch,Sydafrika,Asara Wine Estate,3.9
[Pinot Gris],Baden,Tyskland,Bernhard Huber,3.8
[Riesling],Pfalz,Tyskland,Schneider,4
"[Sauvignon Blanc,Sémillon,Muscadelle]",Pessac-Léognan,Frankrig,Château Lafont Menaut,3.7
"[Sangiovese,Montepulciano]",Montefalco Sagrantino,Italien,Cantine Martinelli,3.9
[Chardonnay],Stellenbosch,Sydafrika,Stellenrust,3.5
"[Verdelho,Sercial,Malmsey,Boal Branco,Terrantez]",Madeira,Portugal,Leacock's,4.2
[Gewürztraminer],Sydtyrol - Alto Adige,Italien,Cantina Kurtatsch,4.2
[Pinot Gris],Central Otago,New Zealand,Quartz Reef,3.7
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Salice Salentino,Italien,San Marzano,3.7
[Cabernet Sauvignon],Lujan de Cuyo,Argentina,Terrazas de los Andes,3.8
[Pinot Noir],Marlborough,New Zealand,Jules Taylor,3.7
"[Shiraz/Syrah,Grenache,Mourvedre]",Ventoux,Frankrig,Marrenon,3.3
"[Chardonnay,Aligoté]",Saint-Véran,Frankrig,Nadine Ferrand,3.8
[Tempranillo],Ribera del Duero,Spanien,Malcaracter,3.7
"[Cabernet Sauvignon,Cabernet Franc,Malbec,Merlot,Petit Verdot,Carménère]",Haut-Médoc,Frankrig,Chateau Plantey de Lieujean,3.6
[Pinot Noir],Mâcon-Verzé,Frankrig,Domaine Nicolas Delfaud,4
"[Shiraz/Syrah,Grenache,Mourvedre]",Pays d'Oc,Frankrig,Pierrick Harang,3.6
[Chardonnay],Californien,USA,Francis Ford Coppola Winery,3.9
[Pinot Noir],Ahr,Tyskland,H. J. Kreuzberg,3.8
[Pinotage],Coastal Region,Sydafrika,Whalehaven,3.8
"[Sauvignon Blanc,Sémillon,Muscadelle]",Côtes de Bordeaux,Frankrig,Château Réaut,3.9
[Pinotage],Wellington,Sydafrika,Diemersfontein,4.2
"[Chenin Blanc,Sauvignon Blanc]",Pouilly-Fumé,Frankrig,Jean-Max Roger,4
"[Sangiovese,Canaiolo Nero]",Vino Nobile di Montepulciano,Italien,Palazzo Vecchio,3.8
"[Shiraz/Syrah,Grenache,Cinsault]",Côtes de Provence,Frankrig,Château Hermitage Saint-Martin,3.9
[Gamay],Fleurie,Frankrig,Henry Fessy,3.7
[Tempranillo],Ribera del Duero,Spanien,Bodegas Asenjo & Manso,3.8
[Gamay],Morgon,Frankrig,Cave de Fleurie,3.7
[Chenin Blanc],Vouvray,Frankrig,Domaine des Aubuisieres - Bernard Fouquet,3.8
"[Cabernet Sauvignon,Cabernet Franc,Malbec,Merlot,Petit Verdot,Carménère]",Lalande-de-Pomerol,Frankrig,Château des Baraillots,3.7
[Riesling],Marlborough,New Zealand,Greywacke,3.9
[Riesling],Nahe,Tyskland,Diel,4
[Barbera],Barbera d'Alba,Italien,Reverdito,3.6
[Pinot Gris],Südsteiermark,Østrig,Wohlmuth,3.7
[Pinot Gris],Baden,Tyskland,Klumpp,3.8
"[Cabernet Sauvignon,Merlot,Sangiovese,Canaiolo Nero]",Rosso di Montalcino,Italien,Terre Nere Campigli Vallone,3.8
[Pinot Noir],Württemberg,Tyskland,Grafen Neipperg,3.3
[Chardonnay],Chablis,Frankrig,Jean Durup,3.9
[Pinot Noir],Rheingau,Tyskland,Kaufmann,3.8
[Sauvignon Blanc],Martinborough,New Zealand,Palliser Estate,3.8
"[Arneis,Pinot Blanc,Cortese,Tocai Friulano]",Lugana,Italien,Perla del Garda,3.6
"[Chenin Blanc,Sauvignon Blanc]",Sancerre,Frankrig,Marcel Martin,4
[Trebbiano],Offida,Italien,Aurora,3.7
"[Cabernet Sauvignon,Cabernet Franc,Malbec,Merlot,Petit Verdot,Carménère]",Durbanville,Sydafrika,Nitída,4.1
"[Shiraz/Syrah,Grenache,Mourvedre]",Côtes-du-Rhône-Villages 'Plan de Dieu',Frankrig,Château Saint-Jean,3.9
[Riesling],Nahe,Tyskland,Emrich-Schönleber,4
[Riesling],Pfalz,Tyskland,Rings,4
[Chardonnay],Central Coast,USA,Liberty School,3.7
[Nebbiolo],Nebbiolo d'Alba,Italien,Palladino,3.9
[Pinot Noir],Elgin,Sydafrika,Botanica,3.9
[Sauvignon Blanc],Cape Town,Sydafrika,Nitída,4
[Cabernet Sauvignon],Stellenbosch,Sydafrika,Anura,3.6
"[Shiraz/Syrah,Grenache,Mourvedre]",Côtes-du-Rhône-Villages 'Saint-Maurice',Frankrig,Chaume Arnaud,3.8
"[Shiraz/Syrah,Grenache,Mourvedre]",Côtes-du-Rhône,Frankrig,Clos du Caillou,4
[Shiraz/Syrah],Swartland,Sydafrika,Intellego,3.8
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Salento,Italien,San Marzano,3.9
[Primitivo],Primitivo di Manduria,Italien,Emera,4.1
[Chardonnay],North Coast,USA,Buena Vista,3.6
[Riesling],Nahe,Tyskland,Emrich-Schönleber,4
[Pinotage],Durbanville,Sydafrika,Diemersdal,4.1
"[Shiraz/Syrah,Grenache,Mourvedre]",Côtes-du-Rhône,Frankrig,Alain Jaume,3.8
[Riesling],Pfalz,Tyskland,Von Winning,4
"[Cabernet Sauvignon,Merlot,Sangiovese,Canaiolo Nero]",Toscana,Italien,La Lastra,4.2
[Chardonnay],Bourgogne Aligoté,Frankrig,Philippe Girard,3.8
[Cabernet Sauvignon],Stellenbosch,Sydafrika,Anura,3.9
"[Touriga Nacional,Touriga Franca,Tinta Roriz]",Porto,Portugal,Poças,4.1
[Chardonnay],Chablis 1er Cru 'Mont de Milieu',Frankrig,Domaine des Genèves,3.9
"[Shiraz/Syrah,Grenache,Mourvedre]",Minervois La Livinière,Frankrig,Domaine de Cantaussels,4
[Silvaner],Rheinhessen,Tyskland,Battenfeld Spanier,4
[Pinot Blanc],Neusiedlersee-Hügelland,Østrig,Prieler,3.8
"[Cabernet Sauvignon,Merlot,Sangiovese,Canaiolo Nero]",Toscana,Italien,Cafaggio,4.1
[Pinot Noir],Rully,Frankrig,Michel Briday,3.6
[Mencia],Ribeira Sacra,Spanien,Algueira,3.5
"[Sangiovese,Trebbiano,Canaiolo Nero,Malvasia Nera]",Chianti Classico,Italien,I Sodi,4
[Chardonnay],Chablis,Frankrig,Domaine Jean Goulley & Fils,3.8
[Malbec],Wellington,Sydafrika,Diemersfontein,3.9
[Tempranillo],Ribera del Duero,Spanien,Lecco,3.7
[Nebbiolo],Roero,Italien,Fratelli Rabino,3.6
"[Cabernet Sauvignon,Cabernet Franc,Malbec,Merlot,Petit Verdot,Carménère]",Lalande-de-Pomerol,Frankrig,Château Haut Ballet,3.7
"[Arneis,Pinot Blanc,Cortese,Tocai Friulano]",Sydtyrol - Alto Adige,Italien,Kellerei St. Pauls,3.9
"[Shiraz/Syrah,Grenache,Mourvedre]",Vacqueyras,Frankrig,Domaine St Pierre,3.8
"[Cabernet Sauvignon,Cabernet Franc,Malbec,Merlot,Petit Verdot,Carménère]",Haut-Médoc,Frankrig,Château Lanessan,3.7
[Pinot Noir],Franken,Tyskland,Rudolf Fürst,3.7
[Barbera],Barbera d'Alba,Italien,Aldo Clerico,3.5
[Shiraz/Syrah],Walker Bay,Sydafrika,Benguela Cove,3.8
[Chardonnay],Valle de Guadalupe,Mexico,L. A. Cetto,3.3
[Chardonnay],Central Coast,USA,Tensley,3.9
"[Touriga Nacional,Tinta Roriz,Touriga Francesa]",Douro Superior,Portugal,Quinta do Vallado,4
[Pinot Grigio],Sydtyrol - Alto Adige,Italien,Kellerei Eisacktal - Cantina Valle Isarco,3.7
[Pinot Noir],Baden,Tyskland,Klumpp,4
"[Cabernet Sauvignon,Cabernet Franc,Malbec,Merlot,Petit Verdot,Carménère]",Saint-Estèphe,Frankrig,Marquis de Saint-Estèphe,4
[Pinot Blanc],Baden,Tyskland,Salwey,3.7
[Tempranillo],Ribera del Duero,Spanien,Bodegas Nexus,3.9
[Blaufränkisch],Burgenland,Østrig,IBY,4
"[Cabernet Sauvignon,Cabernet Franc,Malbec,Merlot,Petit Verdot,Carménère]",Haut-Médoc,Frankrig,Château de Villegeorge,3.7
"[Shiraz/Syrah,Cabernet Sauvignon,Cariñena,Garnacha]",Montsant,Spanien,Alfredo Arribas,3.7
[Grüner Veltliner],Weinviertel,Østrig,Dürnberg,3.9
[Riesling],Mosel,Tyskland,Markus Molitor,4
"[Grenache Blanc,Bourboulenc]",Faugères,Frankrig,Abbaye Sylva Plana,3.7
[Sauvignon Blanc],Constantia,Sydafrika,Eagles' Nest,3.6
"[Touriga Nacional,Touriga Franca,Tinta Roriz]",Porto,Portugal,F. Martins,3.6
"[Cabernet Sauvignon,Merlot,Sangiovese,Canaiolo Nero]",Toscana,Italien,Monteraponi,3.7
"[Sangiovese,Trebbiano,Canaiolo Nero,Malvasia Nera]",Chianti Rùfina,Italien,Travignoli,3.6
"[Chardonnay,Pinot Gris,Pinot Noir,Roussanne,Pinot Blanc,Auxerrois]",Crémant de Bourgogne,Frankrig,Léonce Bocquet,3.7
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Puglia,Italien,Luna Argenta,4.1
"[Nebbiolo,Barbera,Dolcetto]",Verona,Italien,Allegrini,4
"[Chardonnay,Pinot Gris,Pinot Noir,Roussanne,Pinot Blanc,Auxerrois]",Crémant de Loire,Frankrig,Langlois-Chateau,3.8
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Anna de Codorniu,3.6
"[Cabernet Sauvignon,Merlot,Sangiovese,Canaiolo Nero]",Rosso di Montalcino,Italien,Banfi,3.7
"[Tempranillo,Graciano,Garnacha]",Rioja,Spanien,Cune (CVNE),4
"[Aragonez,Castelao,Trincadeira]",Alentejo,Portugal,Esporão,4.1
"[Touriga Nacional,Tinta Roriz,Tinta Barroca,Souzao,Touriga Francesa]",Porto,Portugal,Messias,4
[Chardonnay],Mendoza,Argentina,Catena,3.8
"[Tempranillo,Graciano,Garnacha]",Rioja,Spanien,Vivanco,3.9
[Chardonnay],Californien,USA,Kendall-Jackson,3.9
[Shiraz/Syrah],McLaren Vale,Australien,Two Hands,4
"[Shiraz/Syrah,Grenache,Cinsault]",Côtes de Provence,Frankrig,Minuty,4
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Anna de Codorniu,3.6
[Cabernet Sauvignon],Columbia Valley,USA,Substance,3.8
"[Chardonnay,Pinot Gris,Pinot Noir,Roussanne,Pinot Blanc,Auxerrois]",Crémant de Loire,Frankrig,Langlois-Chateau,3.9
"[Chardonnay,Pinot Gris,Pinot Noir,Roussanne,Pinot Blanc,Auxerrois]",Crémant d'Alsace,Frankrig,Bott-Geyl,3.8
[Zinfandel],Californien,USA,Robert Mondavi Private Selection,3.7
"[Nebbiolo,Barbera,Dolcetto]",Verona,Italien,Cesari,4.2
"[Trebbiano,Garganega]",Soave Classico,Italien,Inama Azienda Agricola,3.7
[Primitivo],Primitivo di Manduria,Italien,Tinazzi,4.2
"[Aragonez,Castelao,Trincadeira]",Alentejo,Portugal,Esporão,3.8
"[Corvina,Rondinella,Corvinone]",Valpolicella Ripasso Classico,Italien,Domini Veneti,4.2
[Trebbiano],Bolgheri,Italien,Antinori,3.9
[Tempranillo],Ribera del Duero,Spanien,Pago del Cielo,3.9
[Nebbiolo],Barolo,Italien,Ricossa,3.8
"[Chardonnay,Pinot Gris,Pinot Noir,Roussanne,Pinot Blanc,Auxerrois]",Crémant d'Alsace,Frankrig,Willm,3.7
[Merlot],Central Coast,USA,Robert Mondavi Private Selection,3.5
"[Cabernet Sauvignon,Cabernet Franc,Malbec,Merlot,Petit Verdot,Carménère]",Médoc,Frankrig,Château La Tour de By,3.8
[Nebbiolo],Langhe,Italien,Massolino,3.8
"[Palomino,Moscato,Pedro Ximenez]",Manzanilla,Spanien,Delgado Zuleta,3.5
"[Shiraz/Syrah,Grenache,Mourvedre]",Ventoux,Frankrig,Château Pesquie,4
"[Touriga Nacional,Tinta Roriz,Touriga Francesa]",Douro Superior,Portugal,Quinta do Vallado,4
"[Touriga Nacional,Tinta Roriz,Touriga Francesa]",Douro,Portugal,Prats & Symington (P+S),3.8
[Primitivo],Primitivo di Manduria,Italien,Felline,3.9
"[Arneis,Pinot Blanc,Cortese,Tocai Friulano]",Lugana,Italien,Zenato,3.9
[Carménère],Apalta Valley,Chile,Lapostolle,4
"[Malvasia,Fiano,Catarratto Bianco]",Vermentino di Sardegna,Italien,Argiolas,4
"[Corvina,Rondinella,Corvinone]",Valpolicella,Italien,Musella,3.6
[Pinot Noir],Bourgogne,Frankrig,Jean-Claude Boisset,3.6
"[Touriga Nacional,Tinta Roriz,Touriga Francesa]",Douro Superior,Portugal,Quinta do Vallado,4
"[Shiraz/Syrah,Grenache,Mourvedre]",Barossa Valley,Australien,Glaetzer,3.9
[Chardonnay],Chablis,Frankrig,Louis Moreau,3.9
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Sicilia,Italien,Donnafugata,3.8
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Terre Siciliane,Italien,Tasca d'Almerita,3.9
[Zinfandel],Lodi,USA,Boneshaker,4
"[Cabernet Sauvignon,Merlot,Sangiovese,Canaiolo Nero]",Toscana,Italien,Poggio San Polo,3.7
[Shiraz/Syrah],McLaren Vale,Australien,d'Arenberg,3.7
[Grüner Veltliner],Wachau,Østrig,Domäne Wachau,3.7
[Glera (Prosecco)],Asolo Prosecco,Italien,Case Paolin,3.8
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Etna,Italien,Graci,3.8
"[Corvina,Rondinella,Corvinone]",Amarone della Valpolicella,Italien,SalvaTerra,4
"[Corvina,Rondinella,Corvinone]",Valpolicella Ripasso Classico,Italien,Ca La Bionda,4
[Trebbiano],Vernaccia di San Gimignano,Italien,Il Colombaio di Santachiara,4
"[Cabernet Sauvignon,Cabernet Franc,Malbec,Merlot,Petit Verdot,Carménère]",Lalande-de-Pomerol,Frankrig,Château Belles-Graves,4
[Tempranillo],Ribera del Duero,Spanien,Pago de Los Capellanes,4
[Sauvignon Blanc],Californien,USA,Robert Mondavi Private Selection,3.4
[Chenin Blanc],Vouvray,Frankrig,Domaine des Aubuisieres - Bernard Fouquet,4
[Pinot Noir],Hemel-en-Aarde Valley,Sydafrika,Newton Johnson,3.9
[Tempranillo],Ribera del Duero,Spanien,Dominio de Atauta,3.8
"[Malvasia,Fiano,Catarratto Bianco]",Etna,Italien,Firriato,3.7
"[Shiraz/Syrah,Grenache,Mourvedre]",Ventoux,Frankrig,Château Pesquie,4
[Primitivo],Primitivo di Manduria,Italien,Vigneti del Salento,4.3
[Riesling],Rheinhessen,Tyskland,Wittmann,3.8
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Etna,Italien,Graci,3.8
"[Palomino,Moscato,Pedro Ximenez]",Manzanilla,Spanien,M. Antonio de la Riva,4
"[Chardonnay,Pinot Gris,Pinot Noir,Roussanne,Pinot Blanc,Auxerrois]",Crémant d'Alsace,Frankrig,Cave de Ribeauville,3.8
[Montepulciano],Montepulciano d'Abruzzo,Italien,Castorani,3.9
"[Shiraz/Syrah,Mourvedre,Counoise,Cinsaut,Vaccareze,Muscardin]",Châteauneuf-du-Pape,Frankrig,Château Fargueirol,4.2
"[Sangiovese,Trebbiano,Canaiolo Nero,Malvasia Nera]",Chianti Classico,Italien,Terreno,3.6
[Nebbiolo],Barolo,Italien,Terre del Barolo,3.8
[Gewürztraminer],Sydtyrol - Alto Adige,Italien,J. Hofstätter,4.1
"[Chardonnay,Pinot Gris,Pinot Noir,Roussanne,Pinot Blanc,Auxerrois]",Crémant de Loire,Frankrig,Louis de Grenelle,3.7
[Mencia],Bierzo,Spanien,Castro Ventosa,3.7
