grapes,region,country,winery,rating,price
"[Malvasia,Fiano,Catarratto Bianco]",Cirò,Italien,Librandi,3.6,43.9315273307442
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Terre Siciliane,Italien,Caleo,3.5,44.3038284098183
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Puglia,Italien,Giuseppe,3.1,39
[Chenin Blanc],Coastal Region,Sydafrika,MAN,3.6,40.95311869815137
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Aglianico del Vulture,Italien,Vigneti del Vulture,3.8,43.9315273307442
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Puglia,Italien,Vigneti del Salento,3.9,38.71931222370675
"[Grenache,Tempranillo]",Valle del Cinca,Spanien,Nuviana,3.6,39.09161330278086
[Grenache],Pays d'Oc,Frankrig,Les Jamelles,3.8,43.5592262516701
"[Sangiovese,Trebbiano,Canaiolo Nero,Malvasia Nera]",Chianti,Italien,Melini,3.5,44.3038284098183
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Terre degli Osci,Italien,Di Majo Norante,3.4,41.69772085629958
"[Baga,Castelao]",Lissabon,Portugal,Paxis,3.8,44.3038284098183
[Sauvignon Blanc],Franschhoek,Sydafrika,Franschhoek Cellar,3.6,44.67612948889241
"[Arinto de Bucelas,Loureiro,Alvarinho,Azal,Avesso,Batoca]",Vinho Verde,Portugal,Aliança,3.7,35.36860251203982
"[Shiraz/Syrah,Grenache,Mourvedre]",Pays d'Oc,Frankrig,Paul Mas,3.5,40.20851654000317
[Sauvignon Blanc],Navarra,Spanien,Inurrieta,3.7,43.124874992750314
[Tempranillo],Castilla,Spanien,Condesa de Leganza,3.4,39.46391438185496
"[Arinto de Bucelas,Loureiro,Alvarinho,Azal,Avesso,Batoca]",Vinho Verde,Portugal,Quinta da Lixa,3.7,36.85780682833624
[Malbec],Côtes du Lot,Frankrig,Château du Cèdre,3.4,44.3038284098183
"[Tempranillo,Graciano,Garnacha]",Rioja,Spanien,Azabache,3.5,39.38945416604014
[Primitivo],Puglia,Italien,Vigneti del Salento,3.8,43.9315273307442
[Touriga Nacional],Dão,Portugal,Vinha Maria,3.7,44.15490797818866
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Castel del Monte,Italien,Rivera,3.4,41.32541977722548
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Salice Salentino,Italien,Torrevento,3.5,44.60166927307759
"[Malvasia,Fiano,Catarratto Bianco]",Sannio,Italien,Mastroberardino,3.5,44.08044776237384
[Pinotage],Coastal Region,Sydafrika,MAN,3.6,44.60166927307759
[Cabernet Sauvignon],Colchagua Valley,Chile,Caliterra,3.4,40.878658482336554
"[Grenache,Tempranillo]",Navarra,Spanien,Inurrieta,3.5,40.95311869815137
"[Malvasia,Fiano,Catarratto Bianco]",Terre Siciliane,Italien,Farnese,3.5,44.3038284098183
"[Malvasia,Fiano,Catarratto Bianco]",Basilicata,Italien,Vigneti del Vulture,3.9,43.9315273307442
[Sauvignon Blanc],Central Valley,Chile,Santa Conchita,3,39
[Tempranillo],Valdepeñas,Spanien,Pata Negra,3.3,36.85780682833624
"[Malvasia,Fiano,Catarratto Bianco]",Nuragus di Cagliari,Italien,Cantina di Dolianova,3.4,40.95311869815137
"[Malvasia,Fiano,Catarratto Bianco]",Puglia,Italien,Giuseppe,3.2,39
"[Grenache,Tempranillo]",Valle del Cinca,Spanien,Nuviana,3.1,39.09161330278086
[Sauvignon Blanc],Colchagua Valley,Chile,Caliterra,3.5,40.95311869815137
"[Tempranillo,Graciano,Garnacha]",Rioja,Spanien,Finca Mónica,3.4,43.9315273307442
"[Trebbiano,Garganega]",Soave Classico,Italien,Cesari,3.4,45
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Terre Siciliane,Italien,Roccaperciata,3.6,44.60166927307759
[Chardonnay],Valle del Cinca,Spanien,Nuviana,3.6,36.85780682833624
[Chardonnay],Valle de Casablanca,Chile,Caliterra,3.4,43.9315273307442
[Pinot Grigio],delle Venezie,Italien,Villa Rocca,3.7,43.18692517259599
"[Nebbiolo,Barbera,Dolcetto]",Piemonte,Italien,Cascina Radice,3.5,45
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Codorníu,3.3,37.25
"[Arneis,Pinot Blanc,Cortese,Tocai Friulano]",Trentino,Italien,Scavi & Ray,2.8,33.50709711666931
"[Malvasia,Fernao Pires]",Lissabon,Portugal,Portada,3.9,44.3038284098183
"[Nebbiolo,Barbera,Dolcetto]",Rosso Veronese,Italien,Bolla,3.5,44.60166927307759
"[Grenache,Tempranillo]",Navarra,Spanien,Bodegas Piedemonte,3.4,44.3038284098183
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Sicilia,Italien,Stemmari,3.6,36.48550574926213
"[Nebbiolo,Barbera,Dolcetto]",Verona,Italien,Zanettini,3.6,45
"[Nebbiolo,Barbera,Dolcetto]",Veneto,Italien,Villa Rocca,3.4,44.3038284098183
"[Tempranillo,Graciano,Garnacha]",Rioja,Spanien,Gran Familia,3.6,43.18692517259599
[Cabernet Sauvignon],Coastal Region,Sydafrika,MAN,3.5,40.95311869815137
[Montepulciano],Montepulciano d'Abruzzo,Italien,Villa Rocca,3.5,44.3038284098183
"[Grenache Blanc,Bourboulenc]",Pays d'Oc,Frankrig,Paul Mas,3.7,40.95311869815137
"[Shiraz/Syrah,Grenache,Mourvedre]",Coteaux de Narbonne,Frankrig,Gérard Bertrand,3.5,39
[Pinot Grigio],delle Venezie,Italien,Riolite,3.7,39.95
"[Grenache,Tempranillo]",Navarra,Spanien,Inurrieta,3.5,43.9315273307442
"[Nebbiolo,Barbera,Dolcetto]",Veneto,Italien,La Calla,4,39
"[Arinto de Bucelas,Loureiro,Alvarinho,Azal,Avesso,Batoca]",Vinho Verde,Portugal,Casa Agricola de Compostela,3.6,44.3038284098183
"[Malvasia,Fiano,Catarratto Bianco]",Terre Siciliane,Italien,Zabu,3.6,40.20851654000317
[Tempranillo],Catalunya,Spanien,Fortaleza del Rey,3,45
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Puglia,Italien,Luccarelli,3.8,43.5592262516701
"[Trebbiano,Garganega]",Soave,Italien,I Prandi,3.6,39.91
"[Malvasia,Fiano,Catarratto Bianco]",Terre Siciliane,Italien,Roccaperciata,3.4,44.15490797818866
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Terre Siciliane,Italien,Zabu,3.7,36.85780682833624
[Cabernet Franc],British Columbia,Canada,Fort Berens Estate Winery,3.8,31.99
[Verdejo],Castilla,Spanien,Condesa de Leganza,3.4,39.46391438185496
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Terre Siciliane,Italien,Tenute Orestiadi,3.7,41.3998799930403
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Puglia,Italien,Vigneti del Salento,3.9,43.18692517259599
[Merlot],Central Valley,Chile,Antares,3.1,36.48550574926213
"[Malvasia,Fiano,Catarratto Bianco]",Terre Siciliane,Italien,Farnese,3.5,44.3038284098183
"[Malvasia,Fiano,Catarratto Bianco]",Puglia,Italien,Vigneti del Salento,3.7,43.85706711492938
"[Shiraz/Syrah,Cabernet Sauvignon]",Stellenbosch,Sydafrika,Delheim,3.5,43.11519543028343
"[Malvasia,Fiano,Catarratto Bianco]",Vermentino di Sardegna,Italien,Sella & Mosca,3.4,43.9315273307442
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Castel del Monte,Italien,Rivera,3.4,43.9315273307442
[Chardonnay],Californien,USA,Salmon Creek,3.4,44.3038284098183
[Grenache],Campo de Borja,Spanien,Borsao Bodegas,3.5,59
[Grenache],Campo de Borja,Spanien,Borsao Bodegas,3.5,59
[Carménère],Central Valley,Chile,Vistamar,3.3,49.95
[Torrontés],Mendoza,Argentina,Bodega Norton,3.4,49
[Sauvignon Blanc],Mendoza,Argentina,Bodega Norton,3.3,49
"[Cabernet Sauvignon,Merlot,Sangiovese,Canaiolo Nero]",Toscana,Italien,Barbanera,3.8,55
[Zinfandel],Lodi,USA,Think-Dream-Live Big!,3.7,55
"[Sangiovese,Montepulciano]",Abruzzo,Italien,Ladone,3.9,59
[Tempranillo],Ribera del Duero,Spanien,Mayor de Castilla,3.3,59
[Shiraz/Syrah],La Mancha,Spanien,Terra Linda,4,59
"[Nebbiolo,Barbera,Dolcetto]",Veneto,Italien,Costa Mezzana - Mediana,3.6,54
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Jaume Serra,3.4,59
"[Shiraz/Syrah,Grenache,Mourvedre]",Pays d'Oc,Frankrig,La Campagne,3.8,59
"[Shiraz/Syrah,Grenache,Mourvedre]",Pays d'Oc,Frankrig,Kjær Sommerfeldt,3.8,49
"[Malvasia,Fiano,Catarratto Bianco]",Terre Siciliane,Italien,Barone Montalto,3.7,57
[Shiraz/Syrah],Horse Heaven Hills,USA,Kjær Sommerfeldt,3.5,59
[Riesling],Rheinhessen,Tyskland,Georg Steinmetz,3.8,59
"[Arinto de Bucelas,Loureiro,Alvarinho,Azal,Avesso,Batoca]",Vinho Verde,Portugal,Casal Garcia,3.8,52.5
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Freixenet,3.6,53.98365646574499
[Tempranillo],Valdepeñas,Spanien,Félix Solís,4,59.95
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Jaume Serra,3.5,50
[Primitivo],Puglia,Italien,Doppio Passo,4,55.47286078204141
"[Baga,Castelao]",Alentejano,Portugal,Esporão,3.6,51.74984999130037
"[Touriga Nacional,Touriga Franca,Tinta Roriz]",Porto,Portugal,Offley,3.6,54.95
[Carménère],Rapel-dalen,Chile,Casillero del Diablo,3.6,59.195871572782444
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Castillo Perelada,3.5,49.5
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Pata Negra,3.3,52.047690854559654
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Freixenet,3.7,59.195871572782444
[Tempranillo],Toro,Spanien,Matsu,3.9,58.45126941463423
[Glera (Prosecco)],Prosecco di Treviso,Italien,Maschio dei Cavalieri,3.7,53.09013387596715
"[Corvina,Rondinella,Corvinone]",Valpolicella,Italien,Zenato,3.8,56.96206509833782
"[Touriga Nacional,Touriga Franca,Tinta Roriz]",Porto,Portugal,Kopke,3.7,59.9
[Verdejo],Rueda,Spanien,Marqués de Riscal,3.7,59.195871572782444
[Cabernet Sauvignon],Central Valley,Chile,Cono Sur,3.4,59
"[Nebbiolo,Barbera,Dolcetto]",Veneto,Italien,Cielo e Terra,4.1,55.84516186111551
"[Touriga Nacional,Touriga Franca,Tinta Roriz]",Porto,Portugal,Kopke,3.6,59.9
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Terre Siciliane,Italien,Barone Montalto,3.6,55.5
"[Tempranillo,Graciano,Garnacha]",Rioja,Spanien,Hacienda López de Haro,3.6,50.63294675407806
[Malbec],Tupungato,Argentina,Andeluna,3.6,55
"[Tempranillo,Graciano,Garnacha]",Rioja,Spanien,Bodegas Faustino,3.5,48.02683920055934
"[Sangiovese,Trebbiano,Canaiolo Nero,Malvasia Nera]",Chianti,Italien,Tenuta Castiglioni,3.6,54.3559575448191
"[Touriga Nacional,Touriga Franca,Tinta Roriz]",Porto,Portugal,Offley,3.7,54.95
[Glera (Prosecco)],Prosecco di Treviso,Italien,Viticoltori Ponte,3.7,53.09013387596715
[Glera (Prosecco)],Prosecco,Italien,Villa Teresa,3.8,51.74984999130037
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Sicilia,Italien,Stemmari,3.6,59
[Malbec],Mendoza,Argentina,Alamos,3.7,58.82357049370834
"[Baga,Castelao]",Lissabon,Portugal,Casal Garcia,3.6,59.315215234343746
[Pinotage],Western Cape,Sydafrika,Spier,3.5,46.90993596333703
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Freixenet,3.8,59.195871572782444
"[Tempranillo,Graciano,Garnacha]",Rioja,Spanien,Bodegas Cosme Palacio,3.6,59.195871572782444
"[Malvasia,Fernao Pires]",Alentejano,Portugal,Esporão,3.6,51.74984999130037
"[Tempranillo,Graciano,Garnacha]",Rioja,Spanien,Lan,3.7,58.82357049370834
"[Chardonnay,Pinot Gris,Pinot Noir,Roussanne,Pinot Blanc,Auxerrois]",Crémant d'Alsace,Frankrig,Cave de Ribeauville,3.5,59
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Bodegas Faustino,3.6,49.5
[Viura],Rioja Alta,Spanien,El Coto,3.5,51.74984999130037
"[Shiraz/Syrah,Cabernet Sauvignon]",Stellenbosch,Sydafrika,Simonsig,3.6,50.26064567500396
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Segura Viudas,3.4,51.74984999130037
[Chenin Blanc],Stellenbosch,Sydafrika,Simonsig,3.7,56.58976401926372
[Glera (Prosecco)],Prosecco,Italien,Scanavino,3.5,56.5
"[Palomino,Moscato,Pedro Ximenez]",Jerez-Xérès-Sherry,Spanien,Sandeman,3.7,59.95
[Chardonnay],Central Valley,Chile,Santa Rita,3.3,59.95
"[Grenache,Tempranillo]",Costers del Segre,Spanien,La Boscana,3.7,52.5
"[Shiraz/Syrah,Cabernet Sauvignon]",Sydøstlige Australien,Australien,Rawson's Retreat,3.4,59
"[Nebbiolo,Barbera,Dolcetto]",Verona,Italien,Casalforte,3.6,59
"[Gouveio,Rabigato,Malvasia Fina]",Porto,Portugal,Kopke,3.6,59.9
[Glera (Prosecco)],Prosecco di Treviso,Italien,Soligo,3.5,48.39914027963344
[Verdejo],Rueda,Spanien,Protos,3.7,52.047690854559654
[Bonarda],Mendoza,Argentina,Colonia Las Liebres,3.5,58.82357049370834
[Cabernet Sauvignon],Western Cape,Sydafrika,Spier,3.4,55.84516186111551
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Terre Siciliane,Italien,Cusumano,3.6,54.281497329004274
"[Grenache,Tempranillo]",Costers del Segre,Spanien,Raimat,3.4,56.58976401926372
"[Tempranillo,Graciano,Garnacha]",Rioja,Spanien,Viña Bujanda,3.6,59.195871572782444
[Touriga Nacional],Dão,Portugal,Casa de Santar,3.8,48.39914027963344
[Shiraz/Syrah],McLaren Vale,Australien,d'Arenberg,3.4,58.078968335560134
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Sicilia,Italien,Feudo Arancio,3.6,46.16533380518882
[Malbec],Tupungato,Argentina,Domaine Bousquet,3.7,50.8811474734608
[Chenin Blanc],Robertson,Sydafrika,Arabella,3.6,49.88834459592986
[Montepulciano],Montepulciano d'Abruzzo,Italien,Natale Verga,3.4,59
"[Shiraz/Syrah,Grenache,Mourvedre]",Pays d'Oc,Frankrig,JP. Chenet,3.4,59
[Malbec],San Juan,Argentina,Bodega Finca Las Moras,3.7,55.1005597029673
"[Xarel-lo,Parellada,Trepat,Viura]",Rías Baixas,Spanien,Bodegas Martín Códax,3.9,59.195871572782444
"[Tempranillo,Graciano,Garnacha]",Rioja,Spanien,Hacienda López de Haro,3.6,59.195871572782444
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Castillo Perelada,3.6,49.5
[Shiraz/Syrah],Western Cape,Sydafrika,Two Oceans,3.3,49.14374243778165
[Pinotage],Stellenbosch,Sydafrika,Ken Forrester,3.5,56.58976401926372
[Sauvignon Blanc],Robertson,Sydafrika,Arabella,3.6,49.88834459592986
"[Shiraz/Syrah,Grenache,Mourvedre]",Pays d'Oc,Frankrig,Arrogant Frog,3.5,55.84516186111551
[Cabernet Sauvignon],Robertson,Sydafrika,Arabella,3.6,49.88834459592986
[Chardonnay],Central Valley,Chile,Cono Sur,3.5,49
[Viognier],Languedoc-Roussillon,Frankrig,Domaine de la Baume,3.8,55.84516186111551
"[Malvasia,Fiano,Catarratto Bianco]",Val di Neto,Italien,Librandi,3.9,58.82357049370834
[Primitivo],Puglia,Italien,Farnese,3.6,51.74984999130037
"[Sangiovese,Trebbiano,Canaiolo Nero,Malvasia Nera]",Chianti,Italien,Rocca delle Macìe,3.5,58.82357049370834
"[Grenache Blanc,Bourboulenc]",Languedoc-Roussillon,Frankrig,Domaine de la Baume,3.9,55.84516186111551
[Merlot],San Juan,Argentina,Bodega Finca Las Moras,3.6,55.1005597029673
[Malbec],Mendoza,Argentina,The Beefsteak Club,3.7,51.30308869641145
"[Grenache,Tempranillo]",Somontano,Spanien,Viñas del Vero,3.4,48.39914027963344
[Pinotage],Western Cape,Sydafrika,Spier,3.5,55.84516186111551
"[Shiraz/Syrah,Grenache,Mourvedre]",Pays d'Oc,Frankrig,Les Jamelles,3.6,50.55848653826324
