grapes,region,country,winery,rating,price 
"[Shiraz/Syrah,Grenache,Mourvedre]",Côtes-du-Rhône,Frankrig,Pierre Amadieu,3.8,150
"[Cabernet Sauvignon,Cabernet Franc,Malbec,Merlot,Petit Verdot,Carménère]",Constantia,Sydafrika,Buitenverwachting,4.1,141.10210896908518
[Pinot Grigio],delle Venezie,Italien,Bocelli,3.8,140
[Barbera],Barbera d'Asti,Italien,Cascina Garitina,3.8,149
"[Arneis,Pinot Blanc,Cortese,Tocai Friulano]",Roero,Italien,Matteo Correggia,3.6,149
"[Shiraz/Syrah,Grenache,Mourvedre]",Barossa Valley,Australien,Teusner,3.9,149.95
[Riesling],Mosel,Tyskland,Immich-Batterieberg,3.7,150
[Pinot Noir],Oregon,USA,Badger Mountain,3.2,149
[Riesling],Rheingau,Tyskland,Peter Jakob Kühn,3.9,141.47441004815929
[Primitivo],Puglia,Italien,Coppi,4,149
[Barbera],Barbera d'Alba,Italien,Matteo Correggia,3.8,149
[Pinot Noir],Thermenregion,Østrig,Johanneshof Reinisch,3.7,139
"[Cabernet Sauvignon,Merlot,Sangiovese,Canaiolo Nero]",Rosso di Montalcino,Italien,Tenuta San Giorgio,3.8,140.66
[Trebbiano],Toscana,Italien,Fattoria le Pupille,4,139
"[Malvasia,Fiano,Catarratto Bianco]",Vermentino di Gallura,Italien,Surrau,4,145.1974208389003
[Chardonnay],Californien,USA,Smoking Loon,3.5,149
[Pinot Noir],Hemel-en-Aarde Ridge,Sydafrika,La Vierge,3.8,149
[Chardonnay],Lodi,USA,Tortoise Creek,3.7,137
[Barbera],Barbera d'Alba,Italien,Demarie,3.8,139
[Nebbiolo],Langhe,Italien,Brezza,3.6,150
"[Cabernet Sauvignon,Cabernet Franc,Malbec,Merlot,Petit Verdot,Carménère]",Puisseguin-Saint-Émilion,Frankrig,Château Guibot,3.9,141.47441004815929
[Blaufränkisch],Südburgenland,Østrig,Wachter-Wiesler,3.8,145.1974208389003
[Moscatel de grano menudo],Moscato d'Asti,Italien,Ca' d'Gal,4,149
"[Sangiovese,Montepulciano]",Marche,Italien,Valturio,3.7,145
"[Nebbiolo,Barbera,Dolcetto]",Bardolino Superiore,Italien,Lenotti,3.8,149
"[Gouveio,Rabigato,Malvasia Fina]",Porto,Portugal,Maynard's,3.7,149
"[Shiraz/Syrah,Grenache,Mourvedre]",Gigondas,Frankrig,Paul Jaboulet Aîné,3.8,148.17582947149316
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Sicilia,Italien,Tasca d'Almerita,3.6,139
"[Shiraz/Syrah,Grenache,Mourvedre]",Vacqueyras,Frankrig,Gigondas La Cave,3.8,149
[Chasselas],Valais,Schweiz,Jean-René Germanier,3.6,147.43122731334495
[Trebbiano],Trebbiano d'Abruzzo,Italien,Castello di Semivicoli,3.8,148.84597141382653
"[Shiraz/Syrah,Grenache,Mourvedre]",Gigondas,Frankrig,Olivier & Lafont,4,149
"[Nebbiolo,Barbera,Dolcetto]",Breganze,Italien,Maculan,3.8,144.7506595440114
"[Shiraz/Syrah,Cabernet Sauvignon,Merlot,Zinfandel]",Californien,USA,Jeff Cohn Cellars,3.9,149.95
"[Grenache Blanc,Bourboulenc]",Picpoul de Pinet,Frankrig,Moulin de Gassac,3.7,149
"[Cabernet Sauvignon,Cabernet Franc,Malbec,Merlot,Petit Verdot,Carménère]",Saint-Émilion Grand Cru,Frankrig,Château Les Gravières,3.9,141.47441004815929
"[Touriga Nacional,Touriga Franca,Tinta Roriz]",Porto,Portugal,Quinta das Carvalhas,4,149
"[Touriga Nacional,Touriga Franca,Tinta Roriz]",Porto,Portugal,Smith Woodhouse,4.1,139
[Shiraz/Syrah],Western Cape,Sydafrika,Beaumont,4,147.05892623427084
[Riesling],Alsace,Frankrig,Kumpf et Meyer,3.8,141.66666666666666
[Merlot],Stellenbosch,Sydafrika,Thelema,3.9,140.35750681093697
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Salento,Italien,San Marzano,3.9,149
"[Grenache,Tempranillo]",Arribes,Spanien,El Hato y el Garabato,3.8,149
[Nebbiolo],Barolo,Italien,BelColle,3.8,145.1974208389003
[Albariño],Rías Baixas,Spanien,Albamar,4,145
[Riesling],Rheinhessen,Tyskland,Battenfeld Spanier,3.9,141.47441004815929
[Viognier],North Coast,USA,Cline,3.7,149
[Pedro Ximenez],Montilla-Moriles,Spanien,Conde de la Cortina,3.6,149
[Riesling],Rheingau,Tyskland,August Kesseler,3.8,139
"[Arinto de Bucelas,Loureiro,Alvarinho,Azal,Avesso,Batoca]",Monção e Melgaço,Portugal,Quinta de Santiago,4,148.17582947149316
"[Shiraz/Syrah,Cabernet Sauvignon,Grenache,Pinotage]",Swartland,Sydafrika,Ashbourne,3.6,150
[Blaufränkisch],Burgenland,Østrig,IBY,4,148.92043162964137
"[Sangiovese,Canaiolo Nero]",Vino Nobile di Montepulciano,Italien,Svetoni,3.9,148.17582947149316
[Grüner Veltliner],Kamptal,Østrig,Loimer,3.9,141.47441004815929
"[Grenache,Tempranillo]",Manchuela,Spanien,Finca Sandoval,3.8,148.0269090398635
[Chardonnay],Chablis,Frankrig,J. Moreau & Fils,3.8,149
"[Sauvignon Blanc,Sémillon,Muscadelle]",Bordeaux,Frankrig,Château Pierrail,3.9,149
[Viura],Rioja,Spanien,Tobia,4.2,148.17582947149316
"[Arneis,Pinot Blanc,Cortese,Tocai Friulano]",Vigneti delle Dolomiti,Italien,Alois Lageder,4.1,147.43122731334495
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Els Vinyerons,3.8,150
"[Shiraz/Syrah,Grenache,Mourvedre]",Gigondas,Frankrig,Domaine la Bouissiere,4,148.17582947149316
[Pinot Noir],Coteaux Bourguignons,Frankrig,Michel Magnien,3.8,139
[Chardonnay],Somontano,Spanien,Enate,4.2,148.17582947149316
[Nebbiolo],Langhe,Italien,Tenuta Baràc,4.1,145
"[Cabernet Franc,Pinot Noir,Gamay,Grolleau]",Sancerre,Frankrig,Domaine du Pré Semelé (Julien & Clément Raimbault),4,147.43122731334495
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Marqués de la Concordia,3.7,139
"[Arneis,Pinot Blanc,Cortese,Tocai Friulano]",Langhe,Italien,Adriano Marco e Vittorio,3.7,149
"[Cabernet Sauvignon,Cabernet Franc,Malbec,Merlot,Petit Verdot,Carménère]",Listrac-Médoc,Frankrig,Château Vieux Moulin,3.9,149
[Sauvignon Blanc],Marlborough,New Zealand,Saint Clair Family Estate,4,150
"[Cabernet Sauvignon,Cabernet Franc,Malbec,Merlot,Petit Verdot,Carménère]",Hawke's Bay,New Zealand,Te Mata,3.6,137.75139925741826
"[Shiraz/Syrah,Cabernet Sauvignon,Grenache,Carignan]",Priorat,Spanien,Alfredo Arribas,3.8,141.62333047978893
[Pinot Noir],Pfalz,Tyskland,Knipser,3.9,141.47441004815929
[Nebbiolo],Langhe,Italien,Giacomo Fenocchio,3.8,148.92043162964137
"[Sangiovese,Trebbiano,Canaiolo Nero,Malvasia Nera]",Chianti,Italien,La Spinetta,3.9,144.45281868075213
[Riesling],Alsace,Frankrig,Ernest Wein,3.8,139
[Chardonnay],Chablis,Frankrig,Domaine Fourrey,3.9,139
"[Shiraz/Syrah,Grenache,Mourvedre]",Côtes-du-Rhône,Frankrig,Domaine Les Aphillanthes,4,147.43122731334495
[Chardonnay],Chablis,Frankrig,Raoul Clerget,3.8,139
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Sicilia,Italien,Barone di Serramarrocco,4.2,148.77151119801172
[Cabernet Sauvignon],Elgin,Sydafrika,Sutherland,3.7,141.10210896908518
[Mencia],Ribeira Sacra,Spanien,Val da Lenda,3.8,149
[Riesling],Rheinhessen,Tyskland,Kühling-Gillot,4,141.47441004815929
[Riesling],Niagara Peninsula,Canada,Henry of Pelham,3.8,145
[Pinot Grigio],Colli Orientali del Friuli,Italien,Le Vigne di Zamò,3.7,149
[Pinot Noir],Californien,USA,Kendall-Jackson,3.7,145
"[Sangiovese,Trebbiano,Canaiolo Nero,Malvasia Nera]",Chianti Classico,Italien,San Giusto a Rentennano,3.8,145.1974208389003
"[Chardonnay,Aligoté]",Viré-Clessé,Frankrig,Thevenet Quintaine,4,138.49600141556647
"[Nebbiolo,Barbera,Dolcetto]",Sydtyrol - Alto Adige,Italien,Cantina Kurtatsch,3.7,144.22943803330764
"[Malvasia,Fiano,Catarratto Bianco]",Costa d'Amalfi,Italien,Marisa Cuomo,3.9,141.47441004815929
[Riesling],Mosel,Tyskland,Forstmeister Geltz-Zilliken,4,148.92043162964137
"[Malvasia,Fiano,Catarratto Bianco]",Terre Siciliane,Italien,Feudo Maccari,4.1,144.08051760167803
"[Malvasia,Fernao Pires]",Vidigueira,Portugal,Herdade Aldeia de Cima,4,148.54813055056727
"[Touriga Nacional,Touriga Franca,Tinta Roriz]",Porto,Portugal,Maynard's,4,149
"[Chardonnay,Gewürztraminer,Riesling,Grauburgunder,Silvaner,Kerner,Weissburgunder,Huxelrebe]",Nahe,Tyskland,Korrell,4.1,145
[Trebbiano],Orvieto Classico,Italien,Palazzone,3.8,141.47441004815929
[Pinot Noir],Valle del Elqui,Chile,Falernia,3.5,148.17582947149316
"[Shiraz/Syrah,Grenache,Mourvedre]",Côtes du Roussillon Villages,Frankrig,Cazes,3.6,149
[Sauvignon Blanc],Durbanville,Sydafrika,Diemersdal,4,149
"[Cabernet Sauvignon,Cabernet Franc,Malbec,Merlot,Petit Verdot,Carménère]",Haut-Médoc,Frankrig,Château Fontesteau,3.8,141.10210896908518
"[Cabernet Sauvignon,Cabernet Franc,Malbec,Merlot,Petit Verdot,Carménère]",Saint-Émilion Grand Cru,Frankrig,Château Rozier,4,140.65534767419626
[Pinot Noir],Marlborough,New Zealand,Konrad,3.5,139.38952400534433
"[Chenin Blanc,Sauvignon Blanc]",Sancerre,Frankrig,Domaine de Terres Blanches,3.9,148.54813055056727
[Shiraz/Syrah],Paarl,Sydafrika,Glen Carlou,3.8,141.10210896908518
"[Sauvignon Blanc,Sémillon,Muscadelle]",Pessac-Léognan,Frankrig,Domaine de la Solitude,3.8,148.84597141382653
"[Grenache,Tempranillo]",Valencia,Spanien,Pago Casa Gran,4,150
[Chardonnay],South Australia,Australien,Yalumba,3.5,139
"[Arinto de Bucelas,Loureiro,Alvarinho,Azal,Avesso,Batoca]",Douro,Portugal,Conceito,3.6,140
"[Corvina,Rondinella,Corvinone]",Valpolicella Ripasso Classico,Italien,Ca La Bionda,4,141.62333047978893
"[Arneis,Pinot Blanc,Cortese,Tocai Friulano]",Langhe,Italien,Gian Piero Marrone,4.3,148.84597141382653
[Tempranillo],Toro,Spanien,Bodegas Frontaura,4,149.95
[Merlot],Sonoma County,USA,Francis Ford Coppola Winery,3.8,148.92043162964137
[Chardonnay],Yarra Valley,Australien,Soumah,3.7,149
"[Cabernet Sauvignon,Merlot,Sangiovese,Canaiolo Nero]",Maremma Toscana,Italien,Roccapesta,3.8,149
"[Nebbiolo,Barbera,Dolcetto]",Trentino-Alto Adige,Italien,Ansitz Waldgries,4,136.63449602019594
"[Cabernet Sauvignon,Merlot,Sangiovese,Canaiolo Nero]",Maremma Toscana,Italien,Muralia,3.9,139
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Cerasuolo di Vittoria,Italien,Donnafugata,3.8,136.03881429367738
[Zinfandel],Californien,USA,Leese-Fitch,3.7,149
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Isola dei Nuraghi,Italien,Cantina di Dolianova,3.9,148.54813055056727
"[Shiraz/Syrah,Grenache,Mourvedre]",Côtes-du-Rhône-Villages,Frankrig,Pegau,3.6,140
[Pinot Noir],Rully,Frankrig,Michel Briday,3.6,150
[Riesling],Rheinhessen,Tyskland,Battenfeld Spanier,3.9,137.75139925741826
[Chardonnay],Chablis,Frankrig,Joseph Drouhin,3.7,140.72980789001107
[Pinot Noir],Marlborough,New Zealand,Hunky Dory,3.5,148.54813055056727
[Riesling],Nahe,Tyskland,Emrich-Schönleber,4,140.72980789001107
[Barbera],Barbera d'Alba,Italien,Matteo Correggia,3.8,149
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Etna,Italien,Massimo Lentsch,3.7,149
"[Shiraz/Syrah,Grenache,Mourvedre]",Côtes-du-Rhône,Frankrig,Domaine de Ferrand,3.8,149
"[Sangiovese,Trebbiano,Canaiolo Nero,Malvasia Nera]",Chianti Classico,Italien,Canonica a Cerreto,3.9,139
"[Grenache Blanc,Bourboulenc]",Pays d'Oc,Frankrig,Mas de Lunès,3.7,149
[Shiraz/Syrah],Crozes-Hermitage,Frankrig,Domaine des Remizières,3.7,145.1974208389003
[Albariño],Rías Baixas,Spanien,Albamar,4,145
"[Cabernet Sauvignon,Cabernet Franc,Malbec,Merlot,Petit Verdot,Carménère]",Lussac-Saint-Émilion,Frankrig,Jean-Louis Trocard,3.8,145
"[Cabernet Sauvignon,Merlot,Sangiovese,Canaiolo Nero]",Rosso di Montalcino,Italien,Fattoria dei Barbi,3.6,145.1974208389003
"[Sangiovese,Trebbiano,Canaiolo Nero,Malvasia Nera]",Chianti,Italien,Terre del Bruno,4,145
[Chardonnay],Stellenbosch,Sydafrika,Saxenburg,4,145.94202299704853
"[Shiraz/Syrah,Grenache,Mourvedre]",Côtes-du-Rhône,Frankrig,Domaine Clos Romane,3.7,150
"[Nebbiolo,Barbera,Dolcetto]",Veneto,Italien,Villa Minelli,3.6,150
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Sicilia,Italien,Tasca d'Almerita,3.7,139
[Chardonnay],Hawke's Bay,New Zealand,Craggy Range,3.7,140.33649523976788
[Sauvignon Blanc],Elgin,Sydafrika,Spioenkop,4.1,148.54813055056727
"[Shiraz/Syrah,Cabernet Sauvignon,Grenache,Carignan]",Priorat,Spanien,Perinet,4.1,150
[Chardonnay],Overberg,Sydafrika,Bouchard Finlayson,4,141.10210896908518
[Trebbiano],Terre di Chieti,Italien,Citra,3.4,149
[Gamay],Moulin-à-Vent,Frankrig,Louis Jadot,3.7,142.9636143644557
"[Shiraz/Syrah,Grenache,Mourvedre]",Côtes-du-Rhône,Frankrig,Domaine de Marcoux,3.8,149
[Trebbiano],Verdicchio di Matelica,Italien,Belisario,3.7,145
"[Arneis,Pinot Blanc,Cortese,Tocai Friulano]",Friuli-Venezia Giulia,Italien,Le Vigne di Zamò,3.6,149
"[Cabernet Sauvignon,Cabernet Franc,Malbec,Merlot,Petit Verdot,Carménère]",Haut-Médoc,Frankrig,Château Larrivaux,3.7,141.47441004815929
[Chardonnay],Rheinhessen,Tyskland,Knewitz,3.8,139
"[Malvasia,Fiano,Catarratto Bianco]",Terre Siciliane,Italien,Miopasso,3.6,143.78
"[Nebbiolo,Barbera,Dolcetto]",Colli Orientali del Friuli,Italien,Torre Rosazza,4,144.45281868075213
"[Trebbiano,Garganega]",Soave Classico,Italien,Inama Azienda Agricola,3.9,145.1974208389003
"[Arneis,Pinot Blanc,Cortese,Tocai Friulano]",Roero,Italien,Negro Angelo,3.8,148.92043162964137
"[Arinto de Bucelas,Loureiro,Alvarinho,Azal,Avesso,Batoca]",Bairrada,Portugal,Vadio,3.7,150
"[Corvina,Rondinella,Corvinone]",Valpolicella Classico,Italien,Ca La Bionda,4,141.62333047978893
"[Grenache,Tempranillo]",Méntrida,Spanien,Jiménez-Landi,3.6,141.62333047978893
[Grenache],Aragón,Spanien,Baltasar Gracián,3.7,139
[Trebbiano],Verdicchio dei Castelli di Jesi,Italien,Zaccagnini,3.9,149
[Sangiovese],Brunello di Montalcino,Italien,Vinea Familiae,3.8,149
"[Chardonnay,Gewürztraminer,Riesling,Grauburgunder,Silvaner,Kerner,Weissburgunder,Huxelrebe]",Pfalz,Tyskland,Reichsrat von Buhl,3.9,140.72980789001107
[Chardonnay],Stellenbosch,Sydafrika,Boschkloof,3.7,137.75139925741826
[Chardonnay],Mendoza,Argentina,El Enemigo,4.3,140.72980789001107
"[Shiraz/Syrah,Grenache,Mourvedre]",Central Coast,USA,Tensley,3.9,150
"[Cabernet Sauvignon,Merlot,Sangiovese,Canaiolo Nero]",Toscana,Italien,La Gerla,3.8,149
"[Nebbiolo,Barbera,Dolcetto]",Sydtyrol - Alto Adige,Italien,Cantina Kurtatsch,3.7,141.32548961652964
"[Shiraz/Syrah,Cabernet Sauvignon,Grenache,Pinotage]",Stellenbosch,Sydafrika,Post House,4.2,148.54813055056727
"[Xarel-lo,Parellada,Trepat,Viura]",Castilla,Spanien,Balmoral,3.5,149
[Pinot Noir],Baden,Tyskland,Klumpp,3.8,150
"[Shiraz/Syrah,Grenache,Mourvedre]",Luberon,Frankrig,Marrenon,4.3,148.54813055056727
[Shiraz/Syrah],Crozes-Hermitage,Frankrig,Les Hauts de Mercurol,3.8,148.92043162964137
"[Cabernet Sauvignon,Cabernet Franc,Malbec,Merlot,Petit Verdot,Carménère]",Médoc,Frankrig,Château le Reysse,4.1,140.72980789001107
[Pinot Noir],Californien,USA,Whiplash,3.7,139
[Pinot Noir],Pfalz,Tyskland,Rings,3.9,141.47441004815929
[Cabernet Franc],Overberg,Sydafrika,Raka,3.9,149
[Chardonnay],Dehesa del Carrizal,Spanien,Dehesa del Carrizal,3.8,145.1974208389003
[Pinot Noir],Pfalz,Tyskland,Weingut Meßmer,3.6,149
[Riesling],Pfalz,Tyskland,Koehler-Ruprecht,3.9,145.1974208389003
"[Touriga Nacional,Touriga Franca,Tinta Roriz]",Porto,Portugal,Sagrado,3.9,148
[Pinot Gris],Willamette Valley,USA,Pike Road,3.8,148
[Pinot Noir],Mendoza,Argentina,Domaine Nico,4.3,148.17582947149316
"[Cabernet Sauvignon,Cabernet Franc,Malbec,Merlot,Petit Verdot,Carménère]",Franschhoek,Sydafrika,La Bri,3.9,141.10210896908518
"[Shiraz/Syrah,Grenache,Mourvedre]",Lirac,Frankrig,Les Vignerons de Tavel,3.7,139
[Malbec],Cahors,Frankrig,P. Parlange & J. Illouz,3.7,140
[Chardonnay],Bourgogne,Frankrig,Bernard Defaix,3.8,139
[Pinot Noir],Marlborough,New Zealand,Villa Maria,3.6,141.39994983234448
"[Chardonnay,Pinot Gris,Pinot Noir,Roussanne,Pinot Blanc,Auxerrois]",Crémant d'Alsace,Frankrig,Andre Kientzler,3.7,141.47441004815929
"[Arneis,Pinot Blanc,Cortese,Tocai Friulano]",delle Venezie,Italien,Roeno,3.8,140.28304659512216
[Cabernet Sauvignon],Stellenbosch,Sydafrika,Saxenburg,3.9,139.9852057318629
"[Chenin Blanc,Sauvignon Blanc]",Pouilly-Fumé,Frankrig,Le Domaine Saget,3.8,148.54813055056727
[Pinot Noir],Givry,Frankrig,Chofflet Valdenaire,3.6,139
[Nebbiolo],Langhe,Italien,Erbaluna,3.8,145
"[Nebbiolo,Barbera,Dolcetto]",Veneto,Italien,Tinazzi,4,149
"[Sangiovese,Trebbiano,Canaiolo Nero,Malvasia Nera]",Chianti Classico,Italien,Le Filigare,3.8,149
"[Arneis,Pinot Blanc,Cortese,Tocai Friulano]",Franciacorta,Italien,Bellavista,3.8,148.17582947149316
[Cabernet Sauvignon],Columbia Valley,USA,Badger Mountain,3.1,139
[Tempranillo],Ribera del Duero,Spanien,Finca Torremilanos,3.8,150
[Shiraz/Syrah],Barossa Valley,Australien,Turkey Flat,3.6,145
[Shiraz/Syrah],Stellenbosch,Sydafrika,Waterkloof,3.8,139.83628530023324
"[Cabernet Sauvignon,Cabernet Franc,Malbec,Merlot,Petit Verdot,Carménère]",Moulis-en-Médoc,Frankrig,Château Ruat Petit Poujeaux,3.5,140.72980789001107
"[Cabernet Sauvignon,Cabernet Franc,Malbec,Merlot,Petit Verdot,Carménère]",Durbanville,Sydafrika,Nitída,4.1,145.94202299704853
"[Chardonnay,Aligoté]",Saint-Véran,Frankrig,Domaine Cordier Père & Fils,4.1,146.438424435814
[Chardonnay],Californien,USA,Buttercup,3.9,139
"[Corvina,Rondinella,Corvinone]",Valpolicella Ripasso,Italien,Riolite,3.8,139.95
"[Arneis,Pinot Blanc,Cortese,Tocai Friulano]",Colli Orientali del Friuli,Italien,Livio Felluga,4,141.47441004815929
"[Shiraz/Syrah,Grenache,Mourvedre]",Côtes-du-Rhône,Frankrig,Domaine Les Aphillanthes,4,147.43122731334495
[Viognier],Stellenbosch,Sydafrika,Idiom,4.1,148.54813055056727
"[Shiraz/Syrah,Grenache,Mourvedre]",Minervois,Frankrig,Domaine Anne Gros & Jean-Paul Tollot,3.9,142.9636143644557
"[Cabernet Sauvignon,Merlot,Sangiovese,Canaiolo Nero]",Toscana,Italien,Sequerciani,3.7,142.8
[Malbec],Stellenbosch,Sydafrika,Anura,4.2,140.72980789001107
[Shiraz/Syrah],Stellenbosch,Sydafrika,Radford Dale,3.5,149
[Shiraz/Syrah],Paarl,Sydafrika,Glen Carlou,3.8,141.10210896908518
"[Shiraz/Syrah,Grenache,Mourvedre]",Beaumes-de-Venise,Frankrig,Gigondas La Cave,3.8,149
[Grüner Veltliner],Kremstal,Østrig,Stagård,3.8,139
"[Cabernet Sauvignon,Cabernet Franc,Malbec,Merlot,Petit Verdot,Carménère]",Lalande-de-Pomerol,Frankrig,Château La Pervenche,3.7,149
"[Cabernet Sauvignon,Cabernet Franc,Malbec,Merlot,Petit Verdot,Carménère]",Stellenbosch,Sydafrika,Dornier,4.1,148.17582947149316
[Barbera],Barbera d'Alba,Italien,Erbaluna,3.8,145
"[Sangiovese,Trebbiano,Canaiolo Nero,Malvasia Nera]",Chianti Rùfina,Italien,Fattoria I Veroni,3.8,149
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Sicilia,Italien,Tasca d'Almerita,3.6,139
[Chardonnay],Franschhoek,Sydafrika,GlenWood,4.1,148.17582947149316
[Riesling],Mosel,Tyskland,Schloss Lieser,4.1,145.1974208389003
[Nebbiolo],Nebbiolo d'Alba,Italien,Orlando Abrigo,3.8,144
[Sauvignon Blanc],Südsteiermark,Østrig,Wohlmuth,3.9,148.92043162964137
"[Cabernet Sauvignon,Merlot,Sangiovese,Canaiolo Nero]",Montecucco,Italien,Salustri,3.8,138
"[Cabernet Sauvignon,Cabernet Franc,Malbec,Merlot,Petit Verdot,Carménère]",Alexander Valley,USA,Geyser Peak,3.7,149
[Shiraz/Syrah],Crozes-Hermitage,Frankrig,David Reynaud,3.9,141.62333047978893
"[Shiraz/Syrah,Grenache,Mourvedre]",Vacqueyras,Frankrig,Rémy Ferbras,3.9,139
"[Nebbiolo,Barbera,Dolcetto]",Sangiovese di Romagna,Italien,I Sabbioni,3.6,139.91074551604805
[Riesling],Alsace Grand Cru 'Pfersigberg',Frankrig,Henri Ehrhart,3.8,139
"[Cabernet Sauvignon,Merlot,Sangiovese,Canaiolo Nero]",Carmignano,Italien,Tenuta di Artimino,3.8,139
[Chardonnay],Wahluke Slope,USA,Milbrandt Vineyards,3.6,140
"[Sangiovese,Trebbiano,Canaiolo Nero,Malvasia Nera]",Chianti Classico,Italien,Chioccioli,3.7,149
[Sauvignon Blanc],Walker Bay,Sydafrika,Bouchard Finlayson,3.8,138.49600141556647
[Chardonnay],Stellenbosch,Sydafrika,Bartinney,4,148.54813055056727
[Gewürztraminer],Sydtyrol - Alto Adige,Italien,Cantina Bolzano / Kellerei Bozen,3.9,141.10210896908518
[Pinot Noir],Hemel-en-Aarde Valley,Sydafrika,Bosman Family Vineyards,3.7,141.10210896908518
[Pinot Noir],Nahe,Tyskland,Korrell,3.6,145
"[Arneis,Pinot Blanc,Cortese,Tocai Friulano]",Langhe,Italien,Albino Rocca,3.6,149
"[Cabernet Sauvignon,Cabernet Franc,Malbec,Merlot,Petit Verdot,Carménère]",Stellenbosch,Sydafrika,Eikendal,4,148.17582947149316
"[Nebbiolo,Barbera,Dolcetto]",Veneto,Italien,Redentore,3.7,149
"[Shiraz/Syrah,Cabernet Sauvignon,Grenache,Pinotage]",Stellenbosch,Sydafrika,Grangehurst,4.1,141.47441004815929
"[Corvina,Rondinella,Corvinone]",Valpolicella,Italien,Cantina di Custoza,3.7,138.75
"[Nebbiolo,Barbera,Dolcetto]",Veneto,Italien,Redentore,4.1,149
"[Gouveio,Rabigato,Malvasia Fina]",Porto,Portugal,Quinta da Prelada,3.8,139
"[Viognier,Roussanne,Marsanne,Grenache Blanc,Clairette,Bourboulenc]",Côtes-du-Rhône,Frankrig,Jean-Luc Colombo,3.7,149
"[Nebbiolo,Barbera,Dolcetto]",Rosso Veronese,Italien,Campo Reale,4,139
[Sauvignon Blanc],Marlborough,New Zealand,Momo,3.7,145
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Salice Salentino,Italien,Candido,4,149
"[Palomino,Moscato,Pedro Ximenez]",Jerez-Xérès-Sherry,Spanien,Pedro Rodriguez e Hijos,4,148
[Sauvignon Blanc],Russian River Valley,USA,Frei Brothers,3.7,138
[Chardonnay],Marlborough,New Zealand,Saint Clair Family Estate,3.9,144.72338161800383
[Nebbiolo],Langhe,Italien,Corino,3.7,149
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Terre Siciliane,Italien,Di Giovanna,3.9,142.9636143644557
"[Nebbiolo,Barbera,Dolcetto]",Veneto,Italien,Lenotti,4,139
[Pinot Gris],Alsace,Frankrig,Bestheim,3.6,149
[Chardonnay],Jura,Frankrig,Jacques Tissot,3.7,145
"[Nebbiolo,Barbera,Dolcetto]",Monferrato,Italien,Marchesi Alfieri,3.7,145
"[Grenache,Tempranillo]",Navarra,Spanien,Bodegas Ochoa,3.8,145
[Tempranillo],Castilla y León,Spanien,Quinta Sardonia,3.8,149
[Nebbiolo],Nebbiolo d'Alba,Italien,Paolo Manzone,3.8,140.72980789001107
"[Shiraz/Syrah,Grenache,Mourvedre]",Vacqueyras,Frankrig,Domaine la Bouissiere,3.9,140.23340645124563
"[Nebbiolo,Barbera,Dolcetto]",Garda,Italien,Avanzi,4.2,150
"[Shiraz/Syrah,Grenache,Mourvedre]",Côtes-du-Rhône,Frankrig,Jean-Luc Colombo,3.7,149
"[Viognier,Roussanne,Marsanne]",Crozes-Hermitage,Frankrig,Yves Cuilleron,4,140.72980789001107
[Pinot Noir],Baden,Tyskland,Weinhaus Gebruder Steffen,3.5,139
"[Sauvignon Blanc,Sémillon,Muscadelle]",Sauternes,Frankrig,Château Fontaine,3.8,148.92043162964137
"[Xarel-lo,Parellada,Trepat,Viura]",Navarra,Spanien,Bodegas Ochoa,4.1,145
"[Nebbiolo,Barbera,Dolcetto]",Sydtyrol - Alto Adige,Italien,Alois Lageder,3.7,143.70821652260392
[Grüner Veltliner],Wachau,Østrig,Josef Jamek,3.6,146
[Chenin Blanc],Vouvray,Frankrig,Foucher Lebrun,3.8,139
[Pinot Gris],Alsace,Frankrig,Fernand Engel,3.8,139
[Nebbiolo],Langhe,Italien,Vietti,3.9,139.61290465278879
"[Shiraz/Syrah,Grenache,Mourvedre]",McLaren Vale,Australien,Coriole Vineyards,3.9,139
"[Cabernet Sauvignon,Merlot,Sangiovese]",Bolgheri,Italien,Caccia Al Piano,3.9,140.72980789001107
[Shiraz/Syrah],Stellenbosch,Sydafrika,Alto Estate,4,145
[Gewürztraminer],Alsace,Frankrig,Fernand Engel,3.9,139
"[Roussanne,Marsanne]",Saint-Péray,Frankrig,Alain Voge,3.7,147.43122731334495
"[Grenache,Tempranillo]",Campo de Borja,Spanien,Borsao Bodegas,3.9,139
"[Baga,Castelao]",Alentejano,Portugal,Herdade do Rocim,4,145.1974208389003
[Cabernet Sauvignon],Paarl,Sydafrika,Plaisir,3.9,137.75139925741826
[Chardonnay],Chablis,Frankrig,Domaine Paul Nicolle,4,149
[Pinot Noir],Tysk vin,Tyskland,Jean Stodden,3.7,141.47441004815929
