grapes,region,country,winery,rating,price,ratings_count,name 
"[Touriga Nacional,Touriga Francesa]",Bairrada,Portugal,Quinta das Bágeiras,3.5,100,537,Quinta das Bágeiras Chumbado Tinto 2015
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Llopart,3.8,94.93677516389637,236,Llopart Cava Nèctar Terrenal Semi Dolç N.V.
"[Palomino,Moscato,Pedro Ximenez]",Fino Sherry,Spanien,Barbadillo,3.3,99,235,Barbadillo Fino Sherry N.V.
[Sauvignon Blanc],Pfalz,Tyskland,Schneider,4.1,103.49969998260075,5577,Schneider Kaitui Sauvignon Blanc 2021
"[Shiraz/Syrah,Grenache,Mourvedre]",Pic-Saint-Loup,Frankrig,Château Puech-Haut,3.7,103.49969998260075,2359,Château Puech-Haut Le Loup du Pic Pic-Saint-Loup 2019
[Cabernet Franc],Stellenbosch,Sydafrika,Morgenster Estate,4,93.07526976852586,880,Morgenster Estate Cabernet Franc 2018
"[Nebbiolo,Barbera,Dolcetto]",Veneto,Italien,Missetti,3.8,99,1889,Missetti Appassimento 2017
"[Aragonez,Castelao,Trincadeira]",Alentejo,Portugal,Monte Branco,3.7,100,3335,Monte Branco Alento Tinto 2019
"[Sangiovese,Montepulciano]",Abruzzo,Italien,Passi-Reali,3.8,99,4204,Passi-Reali Appassimento Organico Rosso 2020
[Chardonnay],Valle de Casablanca,Chile,Veramonte,3.5,99,3418,Veramonte Chardonnay Orgánico Reserva 2019
"[Corvina,Rondinella,Corvinone]",Valpolicella Ripasso Classico,Italien,Scriani,3.9,95.53245689041493,2145,Scriani Valpolicella Classico Superiore Ripasso 2019
[Grenache],Jumilla,Spanien,Casa Castillo,3.7,98.6597859546374,3032,Casa Castillo El Molar 2018
[Pinot Noir],Bourgogne Hautes-Côtes de Beaune,Frankrig,Expert Club,3.3,93.07526976852586,850,Expert Club Bourgogne Hautes-Côtes de Beaune 2017
"[Grenache,Tempranillo]",Manchuela,Spanien,Bodegas Ponce,3.6,95.5572769623532,1546,Bodegas Ponce La Casilla Bobal 2016
[Pinot Blanc],Sydtyrol - Alto Adige,Italien,St. Michael-Eppan,3.8,93.07526976852586,5403,St. Michael-Eppan Schulthauser Weissburgunder (Pinot Bianco) 2021
"[Cabernet Sauvignon,Cabernet Franc,Malbec,Merlot,Petit Verdot,Carménère]",Saint-Georges-Saint-Émilion,Frankrig,Château Macquin,3.8,103.87200106167485,6446,Château Macquin Saint-Georges-Saint-Émilion 2019
"[Sangiovese,Trebbiano,Canaiolo Nero,Malvasia Nera]",Chianti,Italien,Tenuta Sette Ponti,3.5,95.30907624297048,1667,Tenuta Sette Ponti Vigna di Pallino Chianti 2014
[Trebbiano],Bolgheri,Italien,Poggio Al Tesoro,3.9,93.07526976852586,7470,Poggio Al Tesoro Solosole Vermentino 2011
"[Cabernet Sauvignon,Cabernet Franc,Malbec,Merlot,Petit Verdot,Carménère]",Stellenbosch,Sydafrika,Neil Ellis,3.7,100.52129135000791,1181,Neil Ellis Cabernet Sauvignon - Merlot 2018
[Shiraz/Syrah],McLaren Vale,Australien,Woodstock Wine Estate,3.9,99,353,Woodstock Wine Estate Deep Sands Shiraz 2017
"[Tempranillo,Graciano,Garnacha]",Rioja,Spanien,Campillo,3.7,99.77668919185972,7843,Campillo Crianza Rioja 2019
"[Grenache,Tempranillo]",Vino de España,Spanien,Casa Rojo,3.9,100.52129135000791,1016,Casa Rojo Las Viñas Bastardas 2019
"[Touriga Nacional,Touriga Franca,Tinta Roriz]",Porto,Portugal,Barros,3.9,99,1194,Barros Late Bottled Vintage Port 2015
[Tempranillo],Ribera del Duero,Spanien,Bodegas Gormaz,3.6,99,882,Bodegas Gormaz 12 Linajes Roble 2017
[Riesling],Rheinhessen,Tyskland,Kühling-Gillot,3.8,93.07526976852586,5139,Kühling-Gillot Qvinterra Riesling Trocken 2021
"[Cabernet Sauvignon,Merlot,Sangiovese,Canaiolo Nero]",Maremma Toscana,Italien,Fattoria le Pupille,3.5,99,2251,Fattoria le Pupille Pelofino Toscana Rosso 2015
"[Cabernet Sauvignon,Merlot,Sangiovese]",Bolgheri,Italien,Fabio Motta,3.8,96.79828055926689,1782,Fabio Motta Pievi Bolgheri Rosso 2015
"[Shiraz/Syrah,Grenache,Mourvedre]",Minervois,Frankrig,Borie de Maurel,3.7,99,1623,Borie de Maurel Esprit d'Automne Minervois 2019
"[Arinto de Bucelas,Loureiro,Alvarinho,Azal,Avesso,Batoca]",Vinho Verde,Portugal,Quinta d'Amares,3.8,99,1606,Quinta d'Amares Loureiro 2019
[Sauvignon Blanc],Stellenbosch,Sydafrika,Tokara,3.7,96.42597948019278,3035,Tokara Sauvignon Blanc 2021
"[Corvina,Rondinella,Corvinone]",Valpolicella,Italien,Zýmē,3.4,95,1408,Zýmē Valpolicella Reverie 2019
"[Cabernet Sauvignon,Cabernet Franc,Malbec,Merlot,Petit Verdot,Carménère]",Stellenbosch,Sydafrika,Journey's End,3.7,96.42597948019278,683,Journey's End The Pastor's Blend Red Blend 2018
[Pinot Grigio],Colli Orientali del Friuli,Italien,La Tunella,3.9,94.56447408482227,2441,La Tunella Pinot Grigio 2019
[Sauvignon Blanc],Marlborough,New Zealand,Hunky Dory,3.8,96.42597948019278,2402,Hunky Dory Sauvignon Blanc 2015
[Sauvignon Blanc],Stellenbosch,Sydafrika,Mulderbosch,3.7,93.81987192667405,2298,Mulderbosch Sauvignon Blanc 2019
[Tempranillo],Castilla,Spanien,Finca Constancia,3.7,99,950,Finca Constancia Entre Lunas Organic Tempranillo 2019
"[Cabernet Sauvignon,Merlot,Sangiovese]",Bolgheri,Italien,Fornacelle,3.7,93.07526976852586,1276,Fornacelle Zizzolo Bolgheri 2015
[Chardonnay],Washington,USA,Columbia Crest,3.7,99,6203,Columbia Crest Grand Estates Chardonnay 2020
"[Shiraz/Syrah,Grenache,Mourvedre]",Côtes-du-Rhône-Villages,Frankrig,Tardieu-Laurent,3.6,96.79828055926689,2148,Tardieu-Laurent Côtes-du-Rhône Village Les Becs Fins Rouge 2018
"[Grenache,Tempranillo]",Aragón,Spanien,Bodegas Langa,3.9,104.24430214074896,6648,Bodegas Langa Pi - 3.1415 Concejon Tinto 2017
"[Malvasia,Fiano,Catarratto Bianco]",Vermentino di Sardegna,Italien,Audarya,3.7,100.52129135000791,1723,Audarya Vermentino di Sardegna 2021
"[Tempranillo,Graciano,Garnacha]",Rioja,Spanien,Larchago,3.9,99,1490,Larchago Crianza 2018
[Pinot Blanc],Mosel,Tyskland,Van Volxem,4,96.79828055926689,1430,Van Volxem Weissburgunder 2020
[Riesling],Pfalz,Tyskland,Schneider,3.9,93.07526976852586,951,Schneider Alte Reben Riesling 2019
"[Corvina,Rondinella,Corvinone]",Valpolicella,Italien,Brigaldara,3.7,94.19217300574816,1290,Brigaldara Valpolicella Superiore Case Vecie 2019
"[Arneis,Pinot Blanc,Cortese,Tocai Friulano]",Sydtyrol - Alto Adige,Italien,Manincor,3.8,97.5428827174151,1187,Manincor La Manina 2020
[Shiraz/Syrah],Stellenbosch,Sydafrika,DeMorgenzon,3.6,103.49969998260075,1838,DeMorgenzon DMZ Syrah 2017
"[Cabernet Sauvignon,Merlot,Sangiovese,Canaiolo Nero]",Rosso di Montalcino,Italien,Martoccia,3.7,100.52129135000791,1566,Martoccia Rosso di Montalcino 2015
"[Shiraz/Syrah,Grenache,Mourvedre]",Côtes Catalanes,Frankrig,Domaine Lafage,4.1,103.49969998260075,7406,Domaine Lafage Narassa 2020
[Riesling],Rheinhessen,Tyskland,Battenfeld Spanier,3.7,93.07526976852586,411,Battenfeld Spanier Riesling Eisquell 2020
"[Nebbiolo,Barbera,Dolcetto]",Sydtyrol - Alto Adige,Italien,J. Hofstätter,3.6,96.79828055926689,2139,J. Hofstätter Joseph Lagrein Alto Adige 2019
"[Shiraz/Syrah,Grenache,Mourvedre]",Pays d'Oc,Frankrig,Louis Eschenauer,3.2,98.75,3741,Louis Eschenauer Merlot 2020
"[Shiraz/Syrah,Grenache,Mourvedre]",Costières-de-Nîmes,Frankrig,Château l'Ermite,3.5,95,1416,Château l'Ermite Rouge (Cuvée Tradition) 2016
"[Sangiovese,Trebbiano,Canaiolo Nero,Malvasia Nera]",Chianti Classico,Italien,Brancaia,3.8,103.20185911934146,6457,Brancaia Chianti Classico 2020
[Trebbiano],Toscana,Italien,Le Mortelle,3.7,95.97921818530385,3004,Le Mortelle Vivia Maremma Toscana 2021
"[Viognier,Roussanne,Marsanne,Grenache Blanc,Clairette,Bourboulenc]",Côtes-du-Rhône,Frankrig,Domaine de la Solitude - Famille Lancon,3.8,96.79828055926689,852,Domaine de la Solitude - Famille Lancon Côtes du Rhône Blanc 2019
[Cabernet Sauvignon],Stellenbosch,Sydafrika,Neil Ellis,3.8,103.87200106167485,2202,Neil Ellis Cabernet Sauvignon 2018
"[Arneis,Pinot Blanc,Cortese,Tocai Friulano]",Sydtyrol - Alto Adige,Italien,Cantina Bolzano / Kellerei Bozen,3.9,100.52129135000791,1656,Cantina Bolzano / Kellerei Bozen Sauvignon Blanc Mock 2020
"[Sangiovese,Trebbiano,Canaiolo Nero,Malvasia Nera]",Chianti Classico,Italien,Istine,3.7,96.79828055926689,3331,Istine Chianti Classico 2015
[Gamay],Beaujolais Nouveau,Frankrig,Jean Marc Lafont - Domaine de Bel Air,3.8,99,1111,Jean Marc Lafont - Domaine de Bel Air Ephémère Beaujolais Nouveau 2022
[Shiraz/Syrah],McLaren Vale,Australien,Paxton,3.6,99,800,Paxton Now by Paxton Shiraz 2017
"[Grenache,Tempranillo]",Manchuela,Spanien,Bodegas Ponce,3.6,101.26589350815613,1546,Bodegas Ponce La Casilla Bobal 2018
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Paestum,Italien,Luigi Maffini,3.8,103.49969998260075,1665,Luigi Maffini Kleos Aglianico 2014
"[Cabernet Sauvignon,Merlot,Sangiovese,Canaiolo Nero]",Rosso di Montalcino,Italien,Fattoria dei Barbi,3.6,98.80870638626705,6596,Fattoria dei Barbi Rosso di Montalcino 2018
"[Trebbiano,Garganega]",Soave,Italien,Zenato,3.5,99,1419,Zenato Soave Classico 2016
[Cabernet Sauvignon],Mendoza,Argentina,Kaiken,3.7,99,1758,Kaiken Estate Cabernet Sauvignon 2017
"[Verdelho,Sercial,Malmsey,Boal Branco,Terrantez]",Madeira,Portugal,Marques Campoalto,3.4,99,177,Marques Campoalto Medium Sweet Madeira N.V.
"[Arneis,Pinot Blanc,Cortese,Tocai Friulano]",Lugana,Italien,Marangona,3.8,100.52129135000791,1604,Marangona Lugana 2019
"[Grenache,Tempranillo]",Valencia,Spanien,Neleman,3.7,93.07526976852586,2797,Neleman Just Fucking Good Wine Organic Tinto 2019
[Shiraz/Syrah],Stellenbosch,Sydafrika,Glenelly,3.6,98.2874848755633,1479,Glenelly The Glass Collection Syrah 2014
"[Cabernet Sauvignon,Merlot,Sangiovese,Canaiolo Nero]",Morellino di Scansano,Italien,Roccapesta,3.9,104.24430214074896,1835,Roccapesta Morellino di Scansano 2015
"[Shiraz/Syrah,Grenache,Mourvedre]",Corbières,Frankrig,Domaine de la Cendrillon,3.7,99,258,Domaine de la Cendrillon Essentielle 2016
[Chardonnay],Clare Valley,Australien,Taylors / Wakefield,3.6,99,1680,Taylors / Wakefield Estate Chardonnay 2019
"[Cabernet Sauvignon,Cabernet Franc,Malbec,Merlot,Petit Verdot,Carménère]",Médoc,Frankrig,Château d'Escurac,3.8,100.52129135000791,2531,Château d'Escurac Médoc 2016
"[Cabernet Sauvignon,Cabernet Franc,Malbec,Merlot,Petit Verdot,Carménère]",Stellenbosch,Sydafrika,Kaapzicht,3.8,101.26589350815613,1611,Kaapzicht Bin 3 Merlot - Cabernet Sauvignon 2017
[Riesling],Mosel,Tyskland,Van Volxem,4,103.49969998260075,2164,Van Volxem Rotschiefer Riesling Kabinett 2020
"[Arneis,Pinot Blanc,Cortese,Tocai Friulano]",Lugana,Italien,Cesari,3.7,105,1812,Cesari Cento Filari Lugana 2019
[Tempranillo],Toro,Spanien,Covitoro,3.6,99,895,Covitoro Bos Tinta de Toro Roble 2019
[Riesling],Mosel,Tyskland,Markus Molitor,3.9,95.30907624297048,1988,Markus Molitor Schiefersteil Riesling 2020
[Nebbiolo],Nebbiolo d'Alba,Italien,Sordo,3.6,100.52129135000791,1136,Sordo Nebbiolo d'Alba 2017
[Grenache],Campo de Borja,Spanien,Borsao Bodegas,3.4,93.07526976852586,4100,Borsao Bodegas Barrica (Selección) 2017
"[Touriga Nacional,Touriga Franca,Tinta Roriz]",Porto,Portugal,Quinta do Passadouro,3.7,96.42597948019278,169,Quinta do Passadouro Ruby Reserva Porto N.V.
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Flama Roja,3.5,99,168,Flama Roja Cava Brut N.V.
[Pinot Noir],Bourgogne Hautes-Côtes de Nuits,Frankrig,Moillard,3.6,99,1047,Moillard Bourgogne Hautes-Côtes de Nuits Les Vignes Hautes 2017
[Riesling],Baden,Tyskland,Alexander Laible,4,104.16984192493413,1234,Alexander Laible Alte Reben Riesling Trocken 2020
[Sauvignon Blanc],Waipara,New Zealand,Tiki,3.9,96,793,Tiki Maui Sauvignon Blanc 2021
"[Nebbiolo,Barbera,Dolcetto]",Sydtyrol - Alto Adige,Italien,Muri-Gries,3.8,96.05367840111867,6679,Muri-Gries Lagrein Südtirol 2021
[Cabernet Franc],Stellenbosch,Sydafrika,Morgenster Estate,4,93.07526976852586,880,Morgenster Estate Cabernet Franc 2019
[Chardonnay],Walker Bay,Sydafrika,Creation,3.9,103.87200106167485,1527,Creation Chardonnay 2020
[Chenin Blanc],Stellenbosch,Sydafrika,Raats,3.7,100.14899027093381,3120,Raats Original Chenin Blanc (Unwooded) 2021
[Pinotage],Paarl,Sydafrika,Lievland Vineyards,3.7,103.87200106167485,3839,Lievland Vineyards Bushvine Pinotage 2019
[Cabernet Sauvignon],Lodi,USA,Sand Point,3.7,99.95,1969,Sand Point Cabernet Sauvignon 2019
"[Sangiovese,Trebbiano,Canaiolo Nero,Malvasia Nera]",Chianti Classico,Italien,Casa Emma,3.7,93.07526976852586,2360,Casa Emma Chianti Classico 2018
[Riesling],Alsace,Frankrig,Cave du Roi Dagobert,3.5,104,1150,Cave du Roi Dagobert Racines et Terroir Riesling 2018
"[Grenache Blanc,Bourboulenc]",Côtes Catalanes,Frankrig,Domaine Lafage,3.9,96.79828055926689,1410,Domaine Lafage Lafabuleuse Miraflors Blanc 2018
"[Arneis,Pinot Blanc,Cortese,Tocai Friulano]",Langhe,Italien,Damilano,3.8,93.81987192667405,1771,Damilano Arneis Langhe 2020
[Malbec],Stellenbosch,Sydafrika,Neethlingshof Estate,4,100.14899027093381,2530,Neethlingshof Estate Malbec 2019
"[Nebbiolo,Barbera,Dolcetto]",Dogliani,Italien,Anna Maria Abbona,3.7,93.07526976852586,1316,Anna Maria Abbona Sori Dij But Dogliani 2013
[Blaufränkisch],Mittelburgenland,Østrig,Weninger,3.8,96.79828055926689,1685,Weninger Hochäcker Blaufränkisch 2018
[Cabernet Sauvignon],Wahluke Slope,USA,Milbrandt Vineyards,3.6,99,1292,Milbrandt Vineyards Traditions Cabernet Sauvignon 2016
"[Cabernet Sauvignon,Cabernet Franc,Malbec,Merlot,Petit Verdot,Carménère]",Haut-Médoc,Frankrig,Château Maucamps,3.8,104.16984192493413,1534,Château Maucamps Château Dasvin-Bel-Air Haut-Médoc 2011
[Gewürztraminer],Sydtyrol - Alto Adige,Italien,Alois Lageder,3.8,104.24430214074896,2303,Alois Lageder Gewürztraminer 2020
[Riesling],Rheingau,Tyskland,Peter Jakob Kühn,3.8,103.49969998260075,2540,Peter Jakob Kühn Jacobus Riesling Trocken 2020
"[Shiraz/Syrah,Cabernet Sauvignon,Cariñena,Garnacha]",Montsant,Spanien,Venus la Universal,3.7,99,1052,Venus la Universal Mas Marer 2017
[Nebbiolo],Langhe,Italien,Monchiero Carbone,3.6,97.09612142252617,2064,Monchiero Carbone Regret Langhe Nebbiolo 2020
[Chardonnay],Lodi,USA,7 Deadly Wines,3.7,99,172,7 Deadly Wines 7 Deadly Chardonnay 2018
[Shiraz/Syrah],Stellenbosch,Sydafrika,Simonsig,3.8,100.14899027093381,1918,Simonsig Mr Borio's Shiraz 2018
"[Grenache,Tempranillo]",Utiel-Requena,Spanien,Aranleón,3.7,95,888,Aranleón Sólo Tinto 2016
[Primitivo],Primitivo di Manduria,Italien,Cignomoro,4.2,101.26589350815613,1895,Cignomoro Primitivo di Manduria 2020
[Riesling],Mosel,Tyskland,Clemens Busch,3.9,93.07526976852586,689,Clemens Busch Riesling Kabinett 2018
[Chardonnay],Paarl,Sydafrika,La Motte Wine Estate,3.7,91.58606545222943,1852,La Motte Wine Estate Chardonnay 2019
[Chardonnay],South Australia,Australien,Oxford Landing,3.3,99,2027,Oxford Landing Chardonnay 2020
"[Arneis,Pinot Blanc,Cortese,Tocai Friulano]",Sydtyrol - Alto Adige,Italien,Terlan (Terlano),3.8,93.07526976852586,3181,Terlan (Terlano) Tradition Chardonnay 2021
"[Cabernet Sauvignon,Merlot,Sangiovese,Canaiolo Nero]",Toscana,Italien,Duca di Saragnano,3.9,99,866,Duca di Saragnano Sangiovese Toscana 2019
"[Shiraz/Syrah,Grenache,Mourvedre]",Côtes-du-Rhône-Villages 'Visan',Frankrig,Domaine Montmartel,3.6,99,960,Domaine Montmartel Côtes-du-Rhône-Villages 'Visan' 2018
[Cabernet Sauvignon],Darling,Sydafrika,Darling Cellars,3.4,103.49969998260075,849,Darling Cellars Reserve Terra Hutton Cabernet Sauvignon 2017
"[Nebbiolo,Barbera,Dolcetto]",Sydtyrol - Alto Adige,Italien,Peter Zemmer,3.7,93.07526976852586,1014,Peter Zemmer Raut Lagrein 2019
"[Arneis,Pinot Blanc,Cortese,Tocai Friulano]",Veneto,Italien,Biscardo,4,93,5198,Biscardo Oropasso Garganega - Chardonnay 2021
"[Nebbiolo,Barbera,Dolcetto]",Trentino,Italien,Ansitz Waldgries,3.8,93.74541171085923,949,Ansitz Waldgries St.Magdalener Classico 2017
"[Sangiovese,Trebbiano,Canaiolo Nero,Malvasia Nera]",Chianti Colli Senesi,Italien,Fèlsina,3.6,91.21376437315533,1414,Fèlsina Berardenga Chianti Colli Senesi 2019
[Nebbiolo],Langhe,Italien,Michele Chiarlo,3.8,95.75583753785939,3395,Michele Chiarlo Il Principe Langhe Nebbiolo 2020
[Shiraz/Syrah],Barossa,Australien,Langmeil,3.8,96.42597948019278,557,Langmeil Hangin' Snakes Shiraz 2019
"[Shiraz/Syrah,Grenache,Mourvedre]",Languedoc,Frankrig,Le Grand Noir,3.8,99,206,Le Grand Noir Les Reserves Rouge 2017
[Shiraz/Syrah],Stellenbosch,Sydafrika,Kleine Zalze,3.9,104.24430214074896,3155,Kleine Zalze Vineyard Selection Shiraz 2018
[Chardonnay],Californien,USA,Bar Dog,3.8,93.07526976852586,408,Bar Dog Chardonnay 2019
[Pinot Noir],Aconcagua-dalen,Chile,Errazuriz,3.4,99,4948,Errazuriz Estate Reserva Pinot Noir 2021
[Riesling],Pfalz,Tyskland,Knipser,3.9,92.33066761037765,783,Knipser Kalkmergel Riesling Trocken 2019
"[Baga,Castelao]",Algarve,Portugal,Convento do Paraíso,3.8,103.49969998260075,849,Convento do Paraíso Euphoria Tinto 2017
[Sauvignon Blanc],Coastal Region,Sydafrika,Delaire Graff,3.9,95.68137732204457,1950,Delaire Graff Coastal Cuvée Sauvignon Blanc 2021
[Riesling],Pfalz,Tyskland,Dr. Bürklin-Wolf,3.7,96.79828055926689,4039,Dr. Bürklin-Wolf Riesling Trocken 2021
[Merlot],Colchagua Valley,Chile,Montes,3.8,100.52129135000791,10095,Montes Montes Alpha Merlot 2020
[Cabernet Sauvignon],Central Coast,USA,Beyond Big!,3.8,99,150,Beyond Big! The One Cab Sauvignon 2016
[Tempranillo],Ribera del Duero,Spanien,Bodegas Gormaz,3.7,95.29,617,Bodegas Gormaz Viña Gormaz Crianza 2016
"[Corvina,Rondinella,Corvinone]",Valpolicella Classico,Italien,Caterina Zardini,3.9,93.07526976852586,2006,Caterina Zardini Valpolicella Classico Superiore 2017
"[Corvina,Rondinella,Corvinone]",Valpolicella,Italien,Canoso,4.1,99,194,Canoso Terra Valpolicella Superiore 2015
"[Sauvignon Blanc,Sémillon,Muscadelle]",Sauternes,Frankrig,Mouton Cadet,3.9,103.87200106167485,5003,Mouton Cadet Réserve Sauternes 2019
"[Shiraz/Syrah,Grenache,Mourvedre]",Ventoux,Frankrig,Domaine du Bon Remède,3.8,99,1452,Domaine du Bon Remède La Grange Delay 2019
[Sauvignon Blanc],Central Valley,Chile,Cordillera Andina,3.5,92.70296868945175,2428,Cordillera Andina Sauvignon Blanc 2021
[Pinot Blanc],Rheinhessen,Tyskland,Juwel - Juliane Eller Weine,4,96.42597948019278,587,Juwel - Juliane Eller Weine Weissburgunder 2020
"[Cabernet Sauvignon,Merlot,Sangiovese,Canaiolo Nero]",Maremma Toscana,Italien,Rocca di Frassinello,3.7,96.42597948019278,4013,Rocca di Frassinello Maremma Toscana Poggio Alla Guardia 2019
"[Nebbiolo,Barbera,Dolcetto]",Dolcetto d'Alba,Italien,Cordero di Montezemolo,3.7,100.52129135000791,2359,Cordero di Montezemolo Dolcetto d'Alba 2020
"[Nebbiolo,Barbera,Dolcetto]",Monferrato,Italien,Prunotto,3.8,98.2874848755633,5619,Prunotto Mompertone Monferrato 2018
[Grenache],Cannonau di Sardegna,Italien,Quartomoro,3.8,96.79828055926689,546,Quartomoro Òrriu Cannonau di Sardegna 2017
"[Shiraz/Syrah,Grenache,Mourvedre]",Côtes-du-Rhône,Frankrig,Clos du Mont-Olivet,3.8,93.81987192667405,1205,Clos du Mont-Olivet Côtes du Rhône Vieilles Vignes 2019
[Pinot Noir],Californien,USA,Xanthos,3.7,99,562,Xanthos Fly By Pinot Noir 2019
"[Grenache Blanc,Bourboulenc]",Pays d'Oc,Frankrig,Louis Eschenauer,3.6,105,2348,Louis Eschenauer Chardonnay 2020
"[Cabernet Sauvignon,Merlot,Sangiovese,Canaiolo Nero]",Rosso di Montepulciano,Italien,Boscarelli,3.7,96.05367840111867,2315,Boscarelli Rosso di Montepulciano Prugnolo 2019
[Touriga Nacional],Dão,Portugal,Evidência,3.9,95,1982,Evidência Reserva Touriga Nacional 2019
[Grüner Veltliner],Weinviertel,Østrig,Weinrieder,3.6,100,710,Weinrieder Grüner Veltliner Klassik 2019
"[Chardonnay,Gewürztraminer,Riesling,Grauburgunder,Silvaner,Kerner,Weissburgunder,Huxelrebe]",Rheingau,Tyskland,Schloss Vaux,3.7,104.24430214074896,1057,Schloss Vaux Cuvée Vaux Brut 2017
"[Cabernet Sauvignon,Cabernet Franc,Malbec,Merlot,Petit Verdot,Carménère]",Bordeaux Supérieur,Frankrig,Château Chapelle d'Alienor,3.9,99.40438811278561,2347,Château Chapelle d'Alienor Bordeaux Supérieur 2017
"[Nebbiolo,Barbera,Dolcetto]",Trentino,Italien,Ansitz Waldgries,3.8,99.25546768115596,949,Ansitz Waldgries St.Magdalener Classico 2018
"[Cabernet Sauvignon,Cabernet Franc,Malbec,Merlot,Petit Verdot,Carménère]",Stellenbosch,Sydafrika,Kaapzicht,3.8,103.87200106167485,1611,Kaapzicht Bin 3 Merlot - Cabernet Sauvignon 2018
"[Cabernet Sauvignon,Cabernet Franc,Malbec,Merlot,Petit Verdot,Carménère]",Médoc,Frankrig,Château Haut-Myles,3.7,99,1967,Château Haut-Myles Médoc 2017
[Pinot Grigio],Colli Orientali del Friuli,Italien,La Tunella,3.9,100.4468311341931,2441,La Tunella Pinot Grigio 2021
[Shiraz/Syrah],Stellenbosch,Sydafrika,Muratie,3.9,102.75509782445253,2337,Muratie Ronnie Melck Shiraz 2017
"[Cabernet Sauvignon,Merlot,Sangiovese,Canaiolo Nero]",Rosso di Montalcino,Italien,Fattoi,3.8,103.87200106167485,2064,Fattoi Rosso di Montalcino 2019
[Chardonnay],Paarl,Sydafrika,La Motte Wine Estate,3.7,91.73498588385908,1852,La Motte Wine Estate Chardonnay 2020
[Pinotage],Stellenbosch,Sydafrika,The Winery of Good Hope,3.1,95,310,The Winery of Good Hope Whole Berry Pinotage 2018
"[Malvasia,Fiano,Catarratto Bianco]",Vermentino di Gallura,Italien,Gallura,3.8,93.07526976852586,5793,Gallura Canayli Vermentino di Gallura Superiore 2021
[Nebbiolo],Langhe,Italien,Ca’ del Baio,3.8,104.24430214074896,2263,Ca’ del Baio Bric del Baio Langhe Nebbiolo 2020
"[Cabernet Sauvignon,Cabernet Franc,Malbec,Merlot,Petit Verdot,Carménère]",Stellenbosch,Sydafrika,Vergelegen,3.9,100.52129135000791,4556,Vergelegen Cabernet Sauvignon - Merlot 2017
[Pinot Blanc],Sydtyrol - Alto Adige,Italien,Terlan (Terlano),3.8,93.07526976852586,1324,Terlan (Terlano) Tradition Weissburgunder 2021
"[Shiraz/Syrah,Grenache,Mourvedre]",Côtes-du-Rhône,Frankrig,Lavau,3.5,99,140,Lavau Koudiat Côtes-du-Rhône 2019
"[Arneis,Pinot Blanc,Cortese,Tocai Friulano]",Lugana,Italien,Marangona,3.8,100.52129135000791,1604,Marangona Lugana 2020
[Shiraz/Syrah],Colchagua Valley,Chile,Montes,3.9,96.42597948019278,16930,Montes Syrah 2019
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Terre Siciliane,Italien,Regia Maestá,4.2,99,1792,Regia Maestá Syrah 17 2018
[Shiraz/Syrah],Stellenbosch,Sydafrika,Zevenwacht,3.8,94,984,Zevenwacht Syrah 2016
"[Shiraz/Syrah,Grenache,Mourvedre]",Côtes-du-Rhône-Villages 'Visan',Frankrig,Domaine Montmartel,3.6,96.79828055926689,960,Domaine Montmartel Côtes-du-Rhône-Villages 'Visan' 2017
"[Cabernet Sauvignon,Cabernet Franc,Malbec,Merlot,Petit Verdot,Carménère]",Franschhoek,Sydafrika,Leopard’s Leap,4,103.49969998260075,940,Leopard’s Leap Culinaria Collection Grand Vin 2019
[Pinotage],Stellenbosch,Sydafrika,Neethlingshof Estate,3.7,100.14899027093381,7800,Neethlingshof Estate Pinotage 2020
"[Shiraz/Syrah,Grenache,Cinsault]",Côtes de Provence,Frankrig,Marchandise,4,100.52129135000791,1690,Marchandise Côtes de Provence Rosé 2021
[Chenin Blanc],Stellenbosch,Sydafrika,Cavalli,3.8,103.49969998260075,384,Cavalli Filly Chenin Blanc 2020
"[Cabernet Sauvignon,Cabernet Franc,Malbec,Merlot,Petit Verdot,Carménère]",Listrac-Médoc,Frankrig,Château Reverdi,3.8,103.49969998260075,1707,Château Reverdi Listrac-Médoc 2015
[Pinot Noir],Franschhoek,Sydafrika,Haute Cabrière,3.4,92.70296868945175,2007,Haute Cabrière Unwooded Pinot Noir 2021
[Chenin Blanc],Citrusdal Mountain,Sydafrika,Cederberg,3.8,97.91518379648919,2242,Cederberg Chenin Blanc 2021
[Chardonnay],Coastal Region,Sydafrika,Rustenberg,3.7,96.42597948019278,623,Rustenberg Unwooded Chardonnay 2020
"[Arinto de Bucelas,Loureiro,Alvarinho,Azal,Avesso,Batoca]",Douro,Portugal,Quinta do Pôpa,3.7,96.42597948019278,559,Quinta do Pôpa Branco 2018
[Cortese],Gavi,Italien,La Scolca,3.8,99.70222897604489,3246,La Scolca Gavi La Scolca (White label) 2021
[Grenache],Jumilla,Spanien,Casa Castillo,3.7,103.49969998260075,3032,Casa Castillo El Molar 2020
"[Grenache Blanc,Bourboulenc]",Pays d'Oc,Frankrig,Louis Eschenauer,3.6,98.75,1457,Louis Eschenauer Sauvignon Blanc 2020
